"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","16950","16678","7","265"
"2","Chengalpattu","175400","172284","569","2547"
"3","Chennai","562403","551799","1952","8652"
"4","Coimbatore","253299","249857","931","2511"
"5","Cuddalore","64598","63631","91","876"
"6","Dharmapuri","28992","28658","53","281"
"7","Dindigul","33345","32655","38","652"
"8","Erode","107737","106584","442","711"
"9","Kallakurichi","31614","31382","22","210"
"10","Kancheepuram","76137","74678","191","1268"
"11","Kanyakumari","63134","61938","134","1062"
"12","Karur","24980","24504","112","364"
"13","Krishnagiri","44106","43681","67","358"
"14","Madurai","75685","74435","63","1187"
"15","Mayiladuthurai","23430","23106","5","319"
"16","Nagapattinam","21426","21049","16","361"
"17","Namakkal","54541","53748","276","517"
"18","Nilgiris","34431","34132","80","219"
"19","Perambalur","12145","11878","22","245"
"20","Pudukottai","30385","29949","15","421"
"21","Ramanathapuram","20682","20300","23","359"
"22","Ranipet","43695","42877","39","779"
"23","Salem","102476","100430","319","1727"
"24","Sivagangai","20512","20253","46","213"
"25","Tenkasi","27420","26923","11","486"
"26","Thanjavur","76448","75325","116","1007"
"27","Theni","43624","43095","6","523"
"28","Thirupathur","29474","28819","28","627"
"29","Thiruvallur","120853","118773","220","1860"
"30","Thiruvannamalai","55357","54638","46","673"
"31","Thiruvarur","42028","41518","48","462"
"32","Thoothukudi","56615","56136","67","412"
"33","Tirunelveli","49785","49294","55","436"
"34","Tiruppur","98588","97146","417","1025"
"35","Trichy","78881","77653","128","1100"
"36","Vellore","50501","49232","128","1141"
"37","Villupuram","46118","45720","40","358"
"38","Virudhunagar","46469","45870","50","549"
"39","Airport Surveillance 
(International)","1110","1056","53","1"
"40","Airport Surveillance 
(Domestic)","1088","1084","3","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","27,46,890","27,03,196","6,929","36,765"
