"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","6,929"
"2","Number of persons tested positive today in Tamil Nadu","881"
"","Passengers returned from other countries  by 
International airport tested positive today","USA - 2 
UK - 1 
UAE - 1 
Singapore - 1"
"","Passengers returned from other states  by Domestic 
Airport tested positive today","Maharashtra - 1"
"","Passengers returned from other states  by Road tested 
positive today","West Bengal - 2 
Karnataka - 1"
"","Total","890"
"3","Total Number of persons tested positive till date","27,46,890"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,05,261/ 
5,73,39,628@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,05,058/ 
5,64,00,225"
"6","No. of Male / Female / Transgender tested positive today","516/374/0"
"7","No. of Male / Female / Transgender tested positive till date","16,03,322/11,43,530/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","321 (69 Govt+ 
252 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","608/ 
27,03,196"
"10","Total number of deaths today/ till date","7(2 Private &  
5 Govt) /36,765)"
