"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
persons 
hospitalised"
"East Garo Hills","6","5","0","1953","16","20","0"
"East Jaintia Hills","7","4","0","2520","32","35","0"
"East Khasi Hills","182","262","5","45628","1032","1381","184"
"Eastern West Khasi Hills","9","4","0","61","4","46","0"
"North Garo Hills","7","0","0","1743","8","53","0"
"Ri-Bhoi","19","24","0","10030","90","178","1"
"South Garo Hills","6","0","0","1266","12","30","1"
"South West Garo Hills","13","3","0","1939","18","50","3"
"South West Khasi Hills","4","0","0","2606","18","46","0"
"West Garo Hills","88","38","1","9933","75","471","10"
"West Jaintia Hills","15","5","0","6955","136","85","6"
"West Khasi Hills","5","3","0","5568","74","27","0"
"Total","361","348","6","90202","1515","2422","205"
