Distriict,Recovered,Deceased,Active
लसद्धाथ ुनगर,9652,101,517
क्रिरोजाबाद,9519.0,136.0,508.0
पीलीभीत,11081.0,194.0,487.0
बागपत,10096.0,144.0,486.0
आजमगढ़,18035.0,229.0,470.0
सभंल,10100.0,106.0,467.0
बस्ती,11882.0,331.0,460.0
कन्नौज,9350.0,116.0,445.0
लसलतपरु,12865.0,130.0,437.0
मनैपरुी,10687.0,185.0,435.0
बसलया,21607.0,238.0,414.0
उन्नाव,15177.0,254.0,361.0
महाराजगजं,12728.0,142.0,309.0
फतहेपरु,6843.0,139.0,288.0
अम्बडेकर नगर,5131.0,154.0,274.0
समर्ाुपरु,11368.0,117.0,273.0
श्रावस्ती,4515.0,37.0,254.0
सतं कबीर नगर,8216.0,98.0,242.0
भदोही,7655.0,164.0,234.0
कानपरु देहात,6253.0,110.0,233.0
बादा,11044.0,161.0,230.0
कुशीनगर,15513.0,228.0,222.0
बलरामपरु,7561.0,138.0,217.0
औरैय्या,10187.0,205.0,214.0
हाथरस,3397.0,43.0,212.0
मऊ,8422.0,81.0,192.0
प्रतापगढ़,16009.0,164.0,185.0
चचत्रकट,7144.0,79.0,183.0
हमीरपरु,5265.0,102.0,153.0
कासगजं,4508.0,53.0,146.0
कौशाम्बी,4399.0,71.0,90.0
महोबा,4221.0,86.0,58.0
