"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested 
Since 
01.01.2022","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
Since 
01.01.2022","Positive 
in last 24 
hours","Positive 
Cumulative 
Since 
01.01.2022","",""
"Almora","32","118","64403","1","4529","68926","19"
"Bageshwar","1","2","34800","0","2088","36884","11"
"Chamoli","38","24","47874","0","3202","51074","12"
"Champawat","170","1","61803","0","1911","63711","34"
"Dehradun","312","286","367118","5","33140","400123","49"
"Haridwar","68","87","306039","1","13128","319137","9"
"Nainital","179","280","84517","0","11356","95803","45"
"Pauri Garhwal","45","60","93379","1","5276","98648","13"
"Pithoragarh","22","3","40740","0","2559","43287","40"
"Rudraprayag","7","9","27010","0","2703","29713","5"
"Tehri Garhwal","55","39","35781","0","2362","38136","19"
"US Nagar","300","55","135214","1","8803","143993","44"
"Uttarkashi","46","328","39001","0","1645","40644","38"
"Total","1275","1292","1337679","9","92702","1430079","338"
