"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","3,073"
"2","Number of persons tested positive today in Tamil Nadu","592"
"","Passengers returned from other countries  by 
International airport tested positive today","Japan-3 
UAE-1"
"","Total","596"
"3","Total Number of persons tested positive till date","34,60,182"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","15,953/ 
6,68,70,528@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","15,881/ 
6,56,92,495"
"6","No. of Male / Female / Transgender tested positive today","334/262/0"
"7","No. of Male / Female / Transgender tested positive till date","20,19,155/14,40,989/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","217/ 
34,19,083"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,026"
