"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","102639","8020","92456","2163"
"2","SAS Nagar","85325","9113","75114","1098"
"3","Jalandhar","72739","4782","66433","1524"
"4","Patiala","60240","2616","56213","1411"
"5","Amritsar","55056","4398","49031","1627"
"6","Bathinda","47372","2926","43386","1060"
"7","Hoshiarpur","36362","3089","32259","1014"
"8","Gurdaspur","25381","1370","23191","820"
"9","Pathankot","22829","1064","21319","446"
"10","Fazilka","21452","948","19970","534"
"11","Kapurthala","20292","1199","18537","556"
"12","Muktsar","20042","911","18606","525"
"13","Sangrur","17084","713","15485","886"
"14","Mansa","16621","736","15502","383"
"15","Ferozepur","16101","857","14735","509"
"16","Ropar","15898","1312","14157","429"
"17","Faridkot","15195","778","14093","324"
"18","SBS Nagar","12770","786","11593","391"
"19","FG Sahib","11050","749","9957","344"
"20","Moga","9580","528","8815","237"
"21","Tarn Taran","9445","959","8103","383"
"22","Barnala","6749","329","6171","249"
"","Total","700222","48183","635126","16913"
