"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","10","40627","26","39944","318","1","365","0"
"2","Ballari","41","115276","171","112911","616","1","1747","2"
"3","Belagavi","47","99811","1126","97914","899","1","996","2"
"4","Bengaluru Rural","13","79231","21","78160","165","0","906","0"
"5","Bengaluru Urban","705","1774696","1863","1750234","7661","9","16800","1"
"6","Bidar","9","29777","20","29320","35","0","418","4"
"7","Chamarajanagara","17","43523","38","42812","178","0","522","11"
"8","Chikkaballapura","6","55563","15","54842","262","0","458","1"
"9","Chikkamagaluru","14","57155","34","56526","223","0","406","0"
"10","Chitradurga","29","46051","225","45379","438","0","234","0"
"11","Dakshina 
Kannada**","37","135239","89","132986","417","0","1826","10"
"12","Davanagere","7","57479","19","56746","111","0","622","0"
"13","Dharwada","33","83928","62","82305","258","2","1363","2"
"14","Gadag","6","30556","23","30181","40","0","335","0"
"15","Hassana","22","143699","65","142143","253","0","1301","2"
"16","Haveri","22","26789","9","26005","117","0","667","0"
"17","Kalaburagi","28","76460","54","75333","252","1","875","0"
"18","Kodagu","28","49030","82","48347","333","1","349","1"
"19","Kolara","16","62910","20","62146","102","0","662","0"
"20","Koppala","3","41242","20","40525","180","0","537","0"
"21","Mandya","21","101377","48","100513","161","1","703","0"
"22","Mysuru","61","228996","199","225883","559","0","2554","0"
"23","Raichuru","3","45405","14","44946","100","0","359","0"
"24","Ramanagara","13","29726","30","29296","84","0","346","0"
"25","Shivamogga","25","83065","123","81245","694","0","1125","1"
"26","Tumakuru","55","159494","245","157540","746","0","1208","0"
"27","Udupi","34","95419","83","94601","278","1","540","0"
"28","Uttara Kannada","21","71019","107","69768","443","0","808","0"
"29","Vijayapura","5","40935","40","40242","181","1","512","0"
"30","Yadagiri","2","29934","19","29644","80","0","210","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","1333","3934448","4890","3878470","16184","19","39757","37"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
** Dakshina Kannada reported one Non Covid Death due to RTA. 
 
Date: 18-02-2022 
 Page 5 of 16","","","","","","","","",""
