"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
04-12-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","9","181756","180751[5]","99.45","924","81","2041","6722","3900717"
"2","Faridabad","1","99962","99217[4]","99.25","717","28","2602","8509","2773076"
"3","Hisar","0","54002","52860","97.89","1136","6","2475","9837","1458443"
"4","Sonepat","0","47145","46889","99.46","254","2","1523","5332","1564370"
"5","Karnal","2","40044","39489","98.61","552","3","1280","4665","1609163"
"6","Panipat","1","31155","30515","97.95","638","2","2533","6786","1285374"
"7","Panchkula","2","30841","30447[10]","98.72","379","15","579","2466","805911"
"8","Ambala","0","30152","29641","98.31","509","2","802","4388","1598539"
"9","Sirsa","1","29284","28775","98.26","508","1","2695","6495","1224463"
"10","Rohtak","0","25917","25364","97.87","534","2","1202","3383","1109438"
"11","Yamunanagar","0","24649","24225","98.28","414","10","686","4243","1268377"
"12","Bhiwani","0","22410","21758","97.09","652","0","878","8032","1246803"
"13","Kurukshetra","1","22154","21795","98.38","357","2","827","4113","951922"
"14","Mahindergarh","0","21689","21534","99.29","155","0","769","3936","945832"
"15","Jind","0","21210","20677","97.49","533","0","1214","5220","1085297"
"16","Rewari","0","20329","20108","98.91","221","0","1199","6430","1069810"
"17","Jhajjar","0","18850","18516","98.23","328","0","906","3295","1104614"
"18","Fatehabad","0","17880","17398","97.30","482","0","499","2357","844022"
"19","Kaithal","0","11247","10899","96.91","346","2","859","3609","985999"
"20","Palwal","0","11028","10875","98.61","153","0","1836","3020","987021"
"21","Charkhi Dadri","0","5079","4939","97.24","139","1","333","1986","677393"
"22","Nuh","0","5014","4891","97.55","123","0","6786","1565","723457"
"Total","","17","771797","761563[19]","98.67","10054","157","34524","106389","29220041"
