"Districts","No. of Positive 
Cases Since 
01.01.2022","No. of Positive Cases 
Treated/ Cured Since 
01.01.2022","Active Cases in the 
District","Deaths Since 
01.01.2022","Migrated Positive 
Cases Since 
01.01.2022"
"Almora","4548","4143","2","4","399"
"Bageshwar","2095","2003","1","0","91"
"Chamoli","3224","3104","11","3","106"
"Champawat","1915","1891","3","1","20"
"Dehradun","33698","32963","191","177","367"
"Haridwar","13235","12934","42","25","234"
"Nainital","11434","11328","22","29","55"
"Pauri Garhwal","5296","4306","3","18","969"
"Pithoragarh","2564","2420","3","4","137"
"Rudraprayag","2716","2585","0","2","129"
"Tehri Garhwal","2396","2033","3","5","355"
"U.S. Nagar","8845","8539","8","5","293"
"Uttarkashi","1693","1508","7","5","173"
"Total","93659","89757","296","278","3328"
