District,Recovered,Deceased,Active
गौतम बिु नगर,101424,490,277
गाज़ियाबाद,85854,473,120
लखनऊ,294463,2694,88
बादा,12076,167,41
िाराणसी,97688,988,24
मरेठ,88190,932,23
आगरा,35950,465,21
झासी,43919,675,19
कानपरु नगर,91613,1923,17
लललतपरु,14830,134,16
अमरोहा,19298,208,15
प्रयागराज,87464,1118,15
हमीरपरु,6127,102,13
मथरुा,25617,406,11
जौनपरु,24388,244,10
फतहेपरु,8316,141,9
क्रिरोजाबाद,10588,136,9
लखीमपरु-खीरी,30033,300,9
अलीगढ,25502,113,8
बलुदंशहर,26377,254,8
फरु्रखाबाद,11883,197,8
मनैपरुी,11496,189,8
चित्रकूट,7781,79,7
राय बरेली,21359,348,7
सभंल,11025,109,7
उन्नाव,16928,257,7
इटावा,15785,296,6
अयोध्या,18684,293,5
िदंौली,17550,380,5
जालौन,13874,209,5
महाराजगजं,14744,146,5
बबजनौर,18293,139,4
कन्नौज,10851,126,4
अम्बडेकर नगर,5969,167,3
औरैय्या,10802,211,3
सोनभद्र,18672,257,3
आजमगढ़,19452,235,2
बस्ती,12805,337,2
एटा,12107,100,2
गोरखपरु,65979,866,2
हरदोई,17295,373,2
कुशीनगर,16241,235,2
महोबा,4472,89,2
