,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
0,0,0,0,2021-11-05,ML,31.0,1.0,30.0,0,1655,6126,0,0,235.0,8.0,318.0,,9578.0,37355.0,0.0,East Garo Hills,0.0,0.0,0.0,,123,304,0,0,3.0,0.0,6.0,,529.0,1736.0,0,317618,,,,1868,13,1849,,48163,22320,0,0,2021-11-06T22:16:57.624875+05:30,3224000,,,,83794,1457,81946,,1111718,674526,0,0,0.0,0
1,1,1,1,2021-11-05,ML,31.0,1.0,30.0,0,1655,6126,0,0,235.0,8.0,318.0,,9578.0,37355.0,0.0,East Jaintia Hills,0.0,0.0,0.0,,68,389,0,0,3.0,0.0,3.0,,339.0,2365.0,0,122436,,,,2433,31,2397,,64757,35519,0,0,2021-11-06T22:16:57.624875+05:30,3224000,,,,83794,1457,81946,,1111718,674526,0,0,0.0,0
2,2,2,2,2021-11-05,ML,31.0,1.0,30.0,0,1655,6126,0,0,235.0,8.0,318.0,,9578.0,37355.0,0.0,East Khasi Hills,40.0,0.0,36.0,,358,1778,0,0,175.0,4.0,193.0,,1916.0,8337.0,0,824059,,,,41152,990,39893,,319893,232390,0,0,2021-11-06T22:16:57.624875+05:30,3224000,,,,83794,1457,81946,,1111718,674526,0,0,0.0,0
3,3,3,3,2021-11-05,ML,31.0,1.0,30.0,0,1655,6126,0,0,235.0,8.0,318.0,,9578.0,37355.0,0.0,North Garo Hills,0.0,0.0,1.0,,107,365,0,0,3.0,0.0,1.0,,809.0,3199.0,0,118325,,,,1686,8,1675,,63409,31056,0,0,2021-11-06T22:16:57.624875+05:30,3224000,,,,83794,1457,81946,,1111718,674526,0,0,0.0,0
4,4,4,4,2021-11-05,ML,31.0,1.0,30.0,0,1655,6126,0,0,235.0,8.0,318.0,,9578.0,37355.0,0.0,Ri-Bhoi,,,,,0,0,0,0,,,,,,,0,0,,,,9701,90,9594,,0,0,0,0,2021-11-06T22:16:57.624875+05:30,3224000,,,,83794,1457,81946,,1111718,674526,0,0,,0
5,5,5,5,2021-11-05,ML,31.0,1.0,30.0,0,1655,6126,0,0,235.0,8.0,318.0,,9578.0,37355.0,0.0,South Garo Hills,0.0,0.0,0.0,,20,71,0,0,0.0,0.0,1.0,,349.0,1002.0,0,142574,,,,1216,12,1204,,40371,19679,0,0,2021-11-06T22:16:57.624875+05:30,3224000,,,,83794,1457,81946,,1111718,674526,0,0,0.0,0
6,6,6,6,2021-11-05,ML,31.0,1.0,30.0,0,1655,6126,0,0,235.0,8.0,318.0,,9578.0,37355.0,0.0,South West Garo Hills,0.0,0.0,0.0,,375,644,0,0,0.0,1.0,2.0,,1664.0,4042.0,0,172495,,,,1872,18,1852,,74951,42749,0,0,2021-11-06T22:16:57.624875+05:30,3224000,,,,83794,1457,81946,,1111718,674526,0,0,0.0,0
7,7,7,7,2021-11-05,ML,31.0,1.0,30.0,0,1655,6126,0,0,235.0,8.0,318.0,,9578.0,37355.0,0.0,South West Khasi Hills,0.0,0.0,1.0,,31,194,0,0,1.0,0.0,1.0,,182.0,998.0,0,110152,,,,2549,17,2526,,33546,18045,0,0,2021-11-06T22:16:57.624875+05:30,3224000,,,,83794,1457,81946,,1111718,674526,0,0,0.0,0
8,8,8,8,2021-11-05,ML,31.0,1.0,30.0,0,1655,6126,0,0,235.0,8.0,318.0,,9578.0,37355.0,0.0,West Garo Hills,12.0,0.0,0.0,,172,809,0,0,19.0,0.0,5.0,,1471.0,6728.0,0,642923,,,,9043,72,8947,,210951,125681,0,0,2021-11-06T22:16:57.624875+05:30,3224000,,,,83794,1457,81946,,1111718,674526,0,0,0.0,0
9,9,9,9,2021-11-05,ML,31.0,1.0,30.0,0,1655,6126,0,0,235.0,8.0,318.0,,9578.0,37355.0,0.0,West Jaintia Hills,0.0,0.0,8.0,,149,756,0,0,3.0,2.0,15.0,,706.0,3946.0,0,270352,,,,6805,135,6654,,85200,51264,0,0,2021-11-06T22:16:57.624875+05:30,3224000,,,,83794,1457,81946,,1111718,674526,0,0,0.0,0
