,Unnamed: 0,Unnamed: 0.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
0,0,0,2021-11-05,NL,11,1,20,462,489,2403,0,0,94.0,-11.0,1168.0,4214.0,3577.0,14775.0,0.0,Dimapur,10,1,16,,301,1263,0,0,53.0,-8.0,776.0,,2205.0,7647.0,0,379769,,,701 cases were recorded as Non Covid Deaths with Covid19 Positivity,14726,412,14216,,270388,182241,0,701,2022-01-22T01:51:23.286990+05:30,2150000,,,1062 cases were recorded as Non Covid Deaths with Covid19 Positivity,31905,673,31032,398391,712614,503437,0,1062,1062.0,701.0
1,1,1,2021-11-05,NL,11,1,20,462,489,2403,0,0,94.0,-11.0,1168.0,4214.0,3577.0,14775.0,0.0,Kiphire,1,0,0,,6,32,0,0,4.0,0.0,1.0,,93.0,334.0,0,74033,,,1 cases were recorded as Non Covid Deaths with Covid19 Positivity,260,9,247,,13049,8351,0,1,2022-01-22T01:51:23.286990+05:30,2150000,,,1062 cases were recorded as Non Covid Deaths with Covid19 Positivity,31905,673,31032,398391,712614,503437,0,1062,1062.0,1.0
2,2,2,2021-11-05,NL,11,1,20,462,489,2403,0,0,94.0,-11.0,1168.0,4214.0,3577.0,14775.0,0.0,Kohima,0,0,3,,65,400,0,0,14.0,0.0,216.0,,369.0,1882.0,0,270063,,,204 cases were recorded as Non Covid Deaths with Covid19 Positivity,9468,123,9310,,106103,84408,0,204,2022-01-22T01:51:23.286990+05:30,2150000,,,1062 cases were recorded as Non Covid Deaths with Covid19 Positivity,31905,673,31032,398391,712614,503437,0,1062,1062.0,204.0
3,3,3,2021-11-05,NL,11,1,20,462,489,2403,0,0,94.0,-11.0,1168.0,4214.0,3577.0,14775.0,0.0,Longleng,0,0,0,,0,0,0,0,0.0,-2.0,19.0,,10.0,76.0,0,50593,,,20 cases were recorded as Non Covid Deaths with Covid19 Positivity,307,0,305,,20587,15522,0,20,2022-01-22T01:51:23.286990+05:30,2150000,,,1062 cases were recorded as Non Covid Deaths with Covid19 Positivity,31905,673,31032,398391,712614,503437,0,1062,1062.0,20.0
4,4,4,2021-11-05,NL,11,1,20,462,489,2403,0,0,94.0,-11.0,1168.0,4214.0,3577.0,14775.0,0.0,Mokokchung,0,0,1,,44,329,0,0,12.0,0.0,71.0,,235.0,1909.0,0,193171,,,63 cases were recorded as Non Covid Deaths with Covid19 Positivity,2337,54,2255,,69432,56636,0,63,2022-01-22T01:51:23.286990+05:30,2150000,,,1062 cases were recorded as Non Covid Deaths with Covid19 Positivity,31905,673,31032,398391,712614,503437,0,1062,1062.0,63.0
5,5,5,2021-11-05,NL,11,1,20,462,489,2403,0,0,94.0,-11.0,1168.0,4214.0,3577.0,14775.0,0.0,Mon,0,0,0,,15,115,0,0,0.0,-2.0,17.0,,71.0,604.0,0,259604,,,19 cases were recorded as Non Covid Deaths with Covid19 Positivity,1159,12,1141,,70103,48877,0,19,2022-01-22T01:51:23.286990+05:30,2150000,,,1062 cases were recorded as Non Covid Deaths with Covid19 Positivity,31905,673,31032,398391,712614,503437,0,1062,1062.0,19.0
6,6,6,2021-11-05,NL,11,1,20,462,489,2403,0,0,94.0,-11.0,1168.0,4214.0,3577.0,14775.0,0.0,Peren,0,0,0,,9,29,0,0,0.0,0.0,15.0,,119.0,396.0,0,163294,,,15 cases were recorded as Non Covid Deaths with Covid19 Positivity,920,6,912,,20051,12827,0,15,2022-01-22T01:51:23.286990+05:30,2150000,,,1062 cases were recorded as Non Covid Deaths with Covid19 Positivity,31905,673,31032,398391,712614,503437,0,1062,1062.0,15.0
7,7,7,2021-11-05,NL,11,1,20,462,489,2403,0,0,94.0,-11.0,1168.0,4214.0,3577.0,14775.0,0.0,Phek,0,0,0,,0,60,0,0,3.0,0.0,11.0,,96.0,452.0,0,163294,,,9 cases were recorded as Non Covid Deaths with Covid19 Positivity,603,18,579,,31316,21030,0,9,2022-01-22T01:51:23.286990+05:30,2150000,,,1062 cases were recorded as Non Covid Deaths with Covid19 Positivity,31905,673,31032,398391,712614,503437,0,1062,1062.0,9.0
8,8,8,2021-11-05,NL,11,1,20,462,489,2403,0,0,94.0,-11.0,1168.0,4214.0,3577.0,14775.0,0.0,Tuensang,0,0,0,,2,45,0,0,5.0,1.0,11.0,,77.0,326.0,0,414801,,,3 cases were recorded as Non Covid Deaths with Covid19 Positivity,1098,13,1082,,38160,26929,0,3,2022-01-22T01:51:23.286990+05:30,2150000,,,1062 cases were recorded as Non Covid Deaths with Covid19 Positivity,31905,673,31032,398391,712614,503437,0,1062,1062.0,3.0
9,9,9,2021-11-05,NL,11,1,20,462,489,2403,0,0,94.0,-11.0,1168.0,4214.0,3577.0,14775.0,0.0,Wokha,0,0,0,,1,13,0,0,3.0,0.0,20.0,,85.0,638.0,0,166239,,,16 cases were recorded as Non Covid Deaths with Covid19 Positivity,404,11,381,,35196,23879,0,16,2022-01-22T01:51:23.286990+05:30,2150000,,,1062 cases were recorded as Non Covid Deaths with Covid19 Positivity,31905,673,31032,398391,712614,503437,0,1062,1062.0,16.0
