,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
16,16,16,16,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Medchal Malkajgiri,,,,,5237,9347,0,,,,,,,2542203,,,,,,,,2178008,1359011,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
17,17,17,17,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Mulugu,,,,,493,1632,0,,,,,,,294671,,,,,,,,188250,83097,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
18,18,18,18,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Nagarkurnool,,,,,3620,508,0,,,,,,,893308,,,,,,,,487672,108645,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
19,19,19,19,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Nalgonda,,,,,14183,6330,0,,,,,,,1631399,,,,,,,,950405,278553,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
20,20,20,20,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Narayanpet,,,,,1253,599,0,,,,,,,566874,,,,,,,,297342,52900,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
21,21,21,21,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Nirmal,,,,,1769,1342,0,,,,,,,709415,,,,,,,,387405,136394,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
22,22,22,22,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Nizamabad,,,,,4697,1382,0,,,,,,,1534428,,,,,,,,901430,258384,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
23,23,23,23,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Other State,,,,,0,0,0,,,,,,,0,,,,,,,,0,0,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
24,24,24,24,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Peddapalli,,,,,1151,1575,0,,,,,,,795332,,,,,,,,472115,210525,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
25,25,25,25,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Rajanna Sircilla,,,,,1097,1959,0,,,,,,,546121,,,,,,,,377385,152430,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
26,26,26,26,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Ranga Reddy,,,,,7018,10444,0,,,,,,,2551731,,,,,,,,2384187,1336465,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
27,27,27,27,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Sangareddy,,,,,4332,3525,0,,,,,,,1527628,,,,,,,,871775,311562,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
28,28,28,28,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Siddipet,,,,,3559,2543,0,,,,,,,993376,,,,,,,,598538,254506,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
29,29,29,29,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Suryapet,,,,,2811,3479,0,,,,,,,1099560,,,,,,,,629101,225937,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
30,30,30,30,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Unknown,151.0,2.0,190.0,,0,0,0,1029.0,9.0,1278.0,,,,0,,,,672203.0,3963.0,664402.0,,0,0,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
31,31,31,31,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Vikarabad,,,,,6676,861,0,,,,,,,881250,,,,,,,,447206,91307,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
32,32,32,32,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Wanaparthy,,,,,860,545,0,,,,,,,751553,,,,,,,,297099,86837,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
33,33,33,33,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Warangal Rural,,,,,1880,1654,0,,,,,,,716457,,,,,,,,351423,113769,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
34,34,34,34,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Warangal Urban,,,,,2562,9640,0,,,,,,,1135707,,,,,,,,698025,454063,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
35,35,35,35,2021-11-05,TG,151,2,190,0,107083,114732,0,1029.0,9.0,1278.0,,817358.0,695566.0,Yadadri Bhuvanagiri,,,,,1940,3428,0,,,,,,,726465,,,,,,,,480662,243859,2021-11-07 07:58:59.365473,37220000,,,,672203,3963,664402,,23058887,10275861,0,0,0,0,0
