District,Recovered,Deceased,Active
कन्नौज,10122,119,284
हापड़ु,14746.0,221.0,255.0
सलु्तानपरु,16269.0,144.0,250.0
अम्बडेकर नगर,5483.0,156.0,248.0
बसलय,22209.0,242.0,239.0
मर्रु,25051.0,406.0,234.0
इटावा,15381.0,295.0,233.0
भदोही,8045.0,164.0,229.0
कानपरु देहात,6642.0,110.0,229.0
चचत्रकट,7436.0,79.0,219.0
अमठेी,11002.0,144.0,206.0
हमीरपरु,5574.0,102.0,200.0
चदौली,17141.0,370.0,185.0
क्रिरोजाबाद,10259.0,136.0,178.0
औरैय्य,10509.0,208.0,173.0
कुशीनगर,15856.0,233.0,173.0
सत कबीर नगर,8599.0,99.0,173.0
बस्ती,12469.0,333.0,161.0
मनैपरुी,11224.0,189.0,145.0
रामपरु,14371.0,152.0,145.0
अयोध्य,18346.0,291.0,143.0
प्रतापगढ़,16338.0,163.0,143.0
कौशाम्बी,4586.0,72.0,133.0
बागपत,10820.0,140.0,121.0
मऊ,8754.0,83.0,108.0
ममर्ापरु,11728.0,119.0,107.0
श्रावस्ती,4885.0,38.0,107.0
सभल,10845.0,108.0,103.0
बलरामपुर,7952.0,139.0,79.0
हाथरस,3618.0,43.0,65.0
महोब,4308.0,88.0,54.0
कासगजं,4788.0,54.0,22.0
