,Unnamed: 0,44,Unnamed: 1,कन्नौज,Unnamed: 2,52,Unnamed: 3,38,Unnamed: 4,10122,Unnamed: 5,0,Unnamed: 6,119,Unnamed: 7,284,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,हापड़ु,,26.0,,19.0,,14746.0,,0.0,,221.0,,255.0,,,,,
1,,46,,सलु्त नपरु,,31.0,,12.0,,16269.0,,0.0,,144.0,,250.0,,,,,
2,,47,,अम्बडेकर नगर,,27.0,,7.0,,5483.0,,0.0,,156.0,,248.0,,,,,
3,,48,,बसलय,,7.0,,17.0,,22209.0,,0.0,,242.0,,239.0,,,,,
4,,49,,मर्रु,,44.0,,106.0,,25051.0,,1.0,,406.0,,234.0,,,,,
5,,50,,इट व,,28.0,,32.0,,15381.0,,0.0,,295.0,,233.0,,,,,
6,,51,,भदोही,,31.0,,26.0,,8045.0,,0.0,,164.0,,229.0,,,,,
7,,52,,क नपरु देह त,,31.0,,16.0,,6642.0,,0.0,,110.0,,229.0,,,,,
8,,53,,चचत्रकट,,14.0,,7.0,,7436.0,,0.0,,79.0,,219.0,,,,,
9,,54,,अमठेी,,21.0,,20.0,,11002.0,,0.0,,144.0,,206.0,,,,,
10,,55,,हमीरपरु,,38.0,,36.0,,5574.0,,0.0,,102.0,,200.0,,,,,
11,,56,,चदौली,,30.0,,5.0,,17141.0,,2.0,,370.0,,185.0,,,,,
12,,57,,क्रिरोजाबाद,,25.0,,26.0,,10259.0,,0.0,,136.0,,178.0,,,,,
13,,58,,औरैय्य,,18.0,,14.0,,10509.0,,0.0,,208.0,,173.0,,,,,
14,,59,,कुशीनगर,,23.0,,21.0,,15856.0,,0.0,,233.0,,173.0,,,,,
15,,60,,सत कबीर नगर,,7.0,,119.0,,8599.0,,1.0,,99.0,,173.0,,,,,
16,,61,,बस्ती,,19.0,,21.0,,12469.0,,0.0,,333.0,,161.0,,,,,
17,,62,,मनैपरुी,,13.0,,7.0,,11224.0,,0.0,,189.0,,145.0,,,,,
18,,63,,र मपरु,,31.0,,26.0,,14371.0,,0.0,,152.0,,145.0,,,,,
19,,64,,अयोध्य,,20.0,,24.0,,18346.0,,0.0,,291.0,,143.0,,,,,
20,,65,,प्रतापगढ़,,34.0,,22.0,,16338.0,,0.0,,163.0,,143.0,,,,,
21,,66,,कौश म्बी,,13.0,,18.0,,4586.0,,0.0,,72.0,,133.0,,,,,
22,,67,,बागपत,,10.0,,35.0,,10820.0,,0.0,,140.0,,121.0,,,,,
23,,68,,मऊ,,11.0,,39.0,,8754.0,,0.0,,83.0,,108.0,,,,,
24,,69,,समर् परु,,17.0,,9.0,,11728.0,,0.0,,119.0,,107.0,,,,,
25,,70,,श्र वस्ती,,9.0,,26.0,,4885.0,,0.0,,38.0,,107.0,,,,,
26,,71,,सभल,,7.0,,20.0,,10845.0,,0.0,,108.0,,103.0,,,,,
27,,72,,बलर मपरु,,12.0,,37.0,,7952.0,,0.0,,139.0,,79.0,,,,,
28,,73,,ह र्रस,,3.0,,3.0,,3618.0,,0.0,,43.0,,65.0,,,,,
29,,74,,महोब,,3.0,,7.0,,4308.0,,0.0,,88.0,,54.0,,,,,
30,,75,,क सगज,,1.0,,5.0,,4788.0,,0.0,,54.0,,22.0,,,,,
31,,Total,,,,,,,5316.0,,5541.0,,1969708.0,,23.0,,23277.0,,41471.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23277 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
