"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","1968","112444","1604","109093","24","3003","348"
"2","SAS Nagar","3266","98955","2543","97076","11","1159","720"
"3","Jalandhar","1514","79779","1087","77425","8","1948","406"
"4","Patiala","1268","63348","1001","61384","3","1714","250"
"5","Amritsar","684","60239","504","58212","2","1842","185"
"6","Bathinda","841","51708","624","50067","1","1424","217"
"7","Hoshiarpur","491","41633","319","40051","6","1406","176"
"8","Gurdaspur","213","27140","154","26227","2","866","47"
"9","Pathankot","351","24853","245","24260","0","517","76"
"10","Fazilka","252","23684","191","22994","0","621","69"
"11","Muktsar","108","22660","81","22091","0","539","30"
"12","Kapurthala","274","22303","198","21640","1","593","70"
"13","Ropar","498","18436","328","17811","1","456","169"
"14","Ferozepur","233","18126","166","17526","2","539","61"
"15","Mansa","136","17361","121","16957","1","393","11"
"16","Faridkot","235","17070","202","16623","3","413","34"
"17","Sangrur","194","14628","149","13722","2","862","44"
"18","SBS Nagar","205","13607","155","13143","0","409","55"
"19","FG Sahib","401","12316","315","11795","1","437","84"
"20","Moga","87","11086","66","10797","3","269","20"
"21","Tarn Taran","67","10967","45","10550","1","399","18"
"22","Barnala","109","7609","88","7226","0","357","26"
"23","Malerkotla","39","4043","33","3824","2","214","5"
"","Total","13434","773995","10219","750494","74","20380","3121"
