,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,tested_last_updated_state,cumulativeTestedNumberForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated3ForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,10740,10608,129,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,990643,347587,353077,289979,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,0,5,16,21,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2338998,2324161,14733,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,110475613,44700156,47570277,18205180,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,84,103,13084,13271,0,13,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,66883,66582,296,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,1894550,959110,818358,117082,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,34,85,426,545,0,1,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,746079,735492,8035,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,50200419,24805166,22095521,3299732,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,324,785,1560,2669,0,0,0,,,1332900000,Assam,34293000
4,Bihar,851257,838890,12302,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,156854299,73423973,67770765,15659561,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,2147,6012,14747,22906,1,1,0,,,1332900000,Bihar,119520000
5,Chandigarh,99318,98118,1181,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,2279614,1184705,984634,110275,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,7,23,16,46,0,0,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1177636,1163376,14144,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,48967155,21260031,20290632,7416492,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,186,715,2282,3183,15,19,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,11590,11585,4,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,1577219,782133,636632,158454,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,15,19,45,79,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,2006574,1979823,26513,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,37324960,18287800,15699886,3337274,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,136,415,1283,1834,21,45,0,,,1332900000,Delhi,19814000
9,Goa,258848,254736,4013,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560,2197435706,1026919883,950315398,220200425,2871327,1439698,1294999,136630,https://www.icmr.gov.in/,625,0,1119,150998,101990,29189,8917,140096,6,30,59,95,8,10,0,,,1332900000,Goa,1540000
