,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,tested_last_updated_state,cumulativeTestedNumberForState,cumulativeVaccinatedNumberForState
0,Andaman and Nicobar Islands,10740,10608,129,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
1,Andhra Pradesh,2338998,2324161,14733,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
2,Arunachal Pradesh,66883,66582,296,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
3,Assam,746079,735492,8035,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
4,Bihar,851257,838890,12302,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
5,Chandigarh,99318,98118,1181,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
6,Chhattisgarh,1177636,1163376,14144,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
7,Dadra and Nagar Haveli and Daman and Diu,11590,11585,4,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
8,Delhi,2006574,1979823,26513,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
9,Goa,258848,254736,4013,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
10,Gujarat,1277066,1265605,11040,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
11,Haryana,1056326,1045465,10712,2022-11-08,TT,44662141,530509,44117611,2022-11-08 23:21:21.060957,2022-11-08 23:21:21.061238,902104560, 2197451758 
