TT|2022-01-23 07:55:10.331978|GetSource|ERR|File Not Found
TT|2022-01-23 09:55:10.806947|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-01-23 09:55:25.523057|ExtractFromHTML|OK|COMPLETED
TT|2022-01-23 10:49:25.255831|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-01-23 10:49:38.865732|ExtractFromHTML|OK|COMPLETED
TT|2022-01-23 11:36:51.107151|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-01-23 11:37:05.713166|ExtractFromHTML|OK|COMPLETED
TT|2022-01-23 11:55:10.919859|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-01-23 11:55:24.810368|ExtractFromHTML|OK|COMPLETED
TT|2022-01-23 19:12:05.122211|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-01-23 19:12:21.884390|ExtractFromHTML|OK|COMPLETED
TT|2022-01-23 19:55:11.848694|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-01-23 19:55:28.024996|ExtractFromHTML|OK|COMPLETED
TT|2022-01-23 20:55:12.562632|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-01-23 20:55:31.396841|ExtractFromHTML|OK|COMPLETED
TT|2022-01-23 21:55:32.253310|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-01-23 21:55:53.450931|ExtractFromHTML|OK|COMPLETED
TT|2022-01-23 22:55:11.191913|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-01-23 22:55:27.649224|ExtractFromHTML|OK|COMPLETED
TT|2022-01-23 23:55:13.567439|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-01-23 23:55:35.163592|ExtractFromHTML|OK|COMPLETED
TT|2022-01-24 07:55:10.437271|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
