"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
08-01-2022","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","1450","190680","183112[164]","96.03","926","6642","17555","10445","4489600"
"2","Faridabad","480","102253","99452[43]","97.26","717","2084","8165","6540","3314404"
"3","Hisar","96","54246","52885[14]","97.49","1138[1]","223","8428","6870","2048992"
"4","Sonepat","143","47852","46970[11]","98.16","254","628","8418","6073","1970527"
"5","Karnal","199","40714","39551[7]","97.14","554","609","7938","5584","2056347"
"6","Panipat","65","31374","30542[12]","97.35","638","194","6518","6994","1713163"
"7","Panchkula","415","32248","30712[36]","95.24","382","1154","4654","3336","953816"
"8","Ambala","181","31040","29729[32]","95.78","511","800","4795","2207","1874018"
"9","Sirsa","35","29402","28802[1]","97.96","509","91","6002","3467","1720617"
"10","Rohtak","110","26246","25377[1]","96.69","534","318","7211","4930","1395425"
"11","Yamunanagar","48","24914","24282[10]","97.46","415","217","5980","7354","1560199"
"12","Bhiwani","23","22480","21763[2]","96.81","652","65","7174","2670","1549270"
"13","Kurukshetra","63","22401","21859[14]","97.58","358","184","7701","3161","1232251"
"14","Mahindergarh","8","21729","21540[3]","99.13","156","33","6195","1805","1179601"
"15","Jind","32","21314","20681","97.03","533","100","7835","3657","1450658"
"16","Rewari","53","20476","20126[12]","98.29","221","129","3569","2366","1366774"
"17","Jhajjar","73","19102","18543[15]","97.07","328","225","5143","4714","1356908"
"18","Fatehabad","24","17955","17402","96.92","483[1]","70","4382","3217","1081366"
"19","Kaithal","17","11330","10905","96.25","348","77","4957","1661","1447933"
"20","Palwal","5","11070","10879","98.27","153","38","4153","3871","1249645"
"21","Charkhi Dadri","4","5094","4943","97.04","139","12","2105","1099","754995"
"22","Nuh","17","5065","4898","96.70","123","44","5049","5196","936705"
"Haryana","","3541","788985","764953[377]","96.95","10072[2]","13937","143927","97217","36703214"
