"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109641","97","107272","2272"
"2","SAS Nagar","95500","210","94147","1143"
"3","Jalandhar","78127","105","76447","1575"
"4","Patiala","61951","36","60458","1457"
"5","Amritsar","59330","29","57620","1681"
"6","Bathinda","50776","67","49622","1087"
"7","Hoshiarpur","40707","55","39560","1092"
"8","Gurdaspur","26894","33","25999","862"
"9","Pathankot","24446","83","23874","489"
"10","Fazilka","23308","51","22713","544"
"11","Muktsar","22515","16","21961","538"
"12","Kapurthala","21979","34","21366","579"
"13","Ropar","17905","10","17441","454"
"14","Ferozepur","17851","41","17280","530"
"15","Mansa","17222","4","16827","391"
"16","Faridkot","16699","28","16333","338"
"17","Sangrur","14304","6","13563","735"
"18","SBS Nagar","13380","10","12965","405"
"19","FG Sahib","11819","9","11456","354"
"20","Moga","10971","9","10708","254"
"21","Tarn Taran","10871","29","10448","394"
"22","Barnala","7474","27","7105","342"
"23","Malerkotla","3965","2","3787","176"
"","Total","757635","991","738952","17692"
