"COVID-19 DISTRICT WISE STATUS, MEGHALAYA","","","","","","",""
"District Name","Active 
Cases","New 
Cases","New 
Recoveries","New 
Deaths","Total Cases","Total 
Recoveries","Total 
Deaths"
"East Garo Hills","9","2","0","0","1928","1903","16"
"East Jaintia Hills","36","12","3","0","2491","2423","32"
"East Khasi Hills","1117","204","118","1","43876","41743","1016"
"Eastern West Khasi Hills","17","7","0","1","19","0","2"
"North Garo Hills","10","2","0","0","1697","1679","8"
"Ri-Bhoi","111","18","2","0","9877","9676","90"
"South Garo Hills","15","4","0","0","1234","1207","12"
"South West Garo Hills","11","1","0","0","1884","1855","18"
"South West Khasi Hills","14","2","0","0","2567","2536","17"
"West Garo Hills","221","65","18","0","9406","9112","73"
"West Jaintia Hills","44","8","1","0","6880","6700","136"
"West Khasi Hills","24","4","0","0","5545","5447","74"
"Total","1629","329","142","2","87404","84281","1494"
