,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated3ForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,10731,10600,129,2022-10-28,TT,44649088,528999,44100691,2022-10-28 13:33:02.038525,900559796,2022-10-27 00:00:00,142704,2196023524,1026839821,950026999,219156704,990377,347579,353030,289768,https://www.icmr.gov.in/,2208,12,3619,109864,30675,8124,148663,0,10,16,26,1,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2338874,2324008,14733,2022-10-28,TT,44649088,528999,44100691,2022-10-28 13:33:02.038525,900559796,2022-10-27 00:00:00,142704,2196023524,1026839821,950026999,219156704,110366171,44699668,47568799,18097704,https://www.icmr.gov.in/,2208,12,3619,109864,30675,8124,148663,47,110,5481,5638,28,23,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,66875,66576,296,2022-10-28,TT,44649088,528999,44100691,2022-10-28 13:33:02.038525,900559796,2022-10-27 00:00:00,142704,2196023524,1026839821,950026999,219156704,1890009,958827,817815,113367,https://www.icmr.gov.in/,2208,12,3619,109864,30675,8124,148663,33,51,557,641,0,1,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,746020,735372,8035,2022-10-28,TT,44649088,528999,44100691,2022-10-28 13:33:02.038525,900559796,2022-10-27 00:00:00,142704,2196023524,1026839821,950026999,219156704,50171549,24802519,22084727,3284303,https://www.icmr.gov.in/,2208,12,3619,109864,30675,8124,148663,317,3142,2992,6451,10,36,0,,,1332900000,Assam,34293000
4,Bihar,851147,838712,12302,2022-10-28,TT,44649088,528999,44100691,2022-10-28 13:33:02.038525,900559796,2022-10-27 00:00:00,142704,2196023524,1026839821,950026999,219156704,156665284,73409763,67717389,15538132,https://www.icmr.gov.in/,2208,12,3619,109864,30675,8124,148663,1701,10317,20145,32163,7,24,0,,,1332900000,Bihar,119520000
5,Chandigarh,99291,98101,1181,2022-10-28,TT,44649088,528999,44100691,2022-10-28 13:33:02.038525,900559796,2022-10-27 00:00:00,142704,2196023524,1026839821,950026999,219156704,2279129,1184647,984383,110099,https://www.icmr.gov.in/,2208,12,3619,109864,30675,8124,148663,8,18,19,45,2,2,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1177432,1163150,14141,2022-10-28,TT,44649088,528999,44100691,2022-10-28 13:33:02.038525,900559796,2022-10-27 00:00:00,142704,2196023524,1026839821,950026999,219156704,48935144,21258441,20280434,7396269,https://www.icmr.gov.in/,2208,12,3619,109864,30675,8124,148663,75,1857,3952,5884,16,33,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,11588,11583,4,2022-10-28,TT,44649088,528999,44100691,2022-10-28 13:33:02.038525,900559796,2022-10-27 00:00:00,142704,2196023524,1026839821,950026999,219156704,1576379,782051,636427,157901,https://www.icmr.gov.in/,2208,12,3619,109864,30675,8124,148663,4,50,91,145,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,2005882,1979023,26508,2022-10-28,TT,44649088,528999,44100691,2022-10-28 13:33:02.038525,900559796,2022-10-27 00:00:00,142704,2196023524,1026839821,950026999,219156704,37314676,18286922,15697396,3330358,https://www.icmr.gov.in/,2208,12,3619,109864,30675,8124,148663,29,66,214,309,81,92,0,,,1332900000,Delhi,19814000
9,Goa,258653,254610,3967,2022-10-28,TT,44649088,528999,44100691,2022-10-28 13:33:02.038525,900559796,2022-10-27 00:00:00,142704,2196023524,1026839821,950026999,219156704,2870413,1439617,1294705,136091,https://www.icmr.gov.in/,2208,12,3619,109864,30675,8124,148663,6,51,60,117,18,23,0,,,1332900000,Goa,1540000
