"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109047","1541","105266","2240"
"2","SAS Nagar","94426","1987","91309","1130"
"3","Jalandhar","77501","1111","74829","1561"
"4","Patiala","61758","286","60027","1445"
"5","Amritsar","58852","714","56469","1669"
"6","Bathinda","50408","748","48582","1078"
"7","Hoshiarpur","40220","1356","37795","1069"
"8","Gurdaspur","26728","283","25589","856"
"9","Pathankot","24066","323","23273","470"
"10","Fazilka","22984","993","21448","543"
"11","Muktsar","22293","432","21326","535"
"12","Kapurthala","21757","327","20863","567"
"13","Sangrur","18224","132","17189","903"
"14","Ropar","17728","338","16950","440"
"15","Ferozepur","17606","296","16786","524"
"16","Mansa","17180","108","16681","391"
"17","Faridkot","16471","282","15856","333"
"18","SBS Nagar","13311","117","12796","398"
"19","FG Sahib","11751","125","11273","353"
"20","Moga","10837","368","10219","250"
"21","Tarn Taran","10725","330","10006","389"
"22","Barnala","7373","119","6990","264"
"","Total","751246","12316","721522","17408"
