,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,Tested
0,2022-02-06,DL,Central Delhi,,,,,,,,2022-02-07 11:55:29.232272,,,,1843933,25983,1809081,,35253679
1,2022-02-06,DL,East Delhi,,,,,,,,2022-02-07 11:55:29.232272,,,,1843933,25983,1809081,,35253679
2,2022-02-06,DL,New Delhi,,,,,,,,2022-02-07 11:55:29.232272,,,,1843933,25983,1809081,,35253679
3,2022-02-06,DL,North Delhi,,,,,,,,2022-02-07 11:55:29.232272,,,,1843933,25983,1809081,,35253679
4,2022-02-06,DL,North East Delhi,,,,,,,,2022-02-07 11:55:29.232272,,,,1843933,25983,1809081,,35253679
5,2022-02-06,DL,North West Delhi,,,,,,,,2022-02-07 11:55:29.232272,,,,1843933,25983,1809081,,35253679
6,2022-02-06,DL,Shahdara,,,,,,,,2022-02-07 11:55:29.232272,,,,1843933,25983,1809081,,35253679
7,2022-02-06,DL,South Delhi,,,,,,,,2022-02-07 11:55:29.232272,,,,1843933,25983,1809081,,35253679
8,2022-02-06,DL,South East Delhi,,,,,,,,2022-02-07 11:55:29.232272,,,,1843933,25983,1809081,,35253679
9,2022-02-06,DL,South West Delhi,,,,,,,,2022-02-07 11:55:29.232272,,,,1843933,25983,1809081,,35253679
10,2022-02-06,DL,West Delhi,,,,,,,,2022-02-07 11:55:29.232272,,,,1843933,25983,1809081,,35253679
11,2022-02-06,DL,Unknown,,,,1843933,25983,1809081,,2022-02-07 11:55:29.232272,,,,1843933,25983,1809081,,35253679
