"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","3087","113563","3043","110532","38","3017","14"
"2","SAS Nagar","5378","101067","5338","99871","20","1168","28"
"3","Jalandhar","2828","81093","2750","79088","43","1983","22"
"4","Patiala","2138","64218","2104","62487","11","1722","9"
"5","Amritsar","1410","60965","1389","59097","6","1846","22"
"6","Bathinda","1576","52443","1565","51008","6","1429","6"
"7","Hoshiarpur","1309","42418","1255","40987","19","1419","12"
"8","Gurdaspur","350","27277","330","26403","7","871","3"
"9","Pathankot","521","25023","480","24495","4","521","7"
"10","Fazilka","549","23981","541","23344","0","621","16"
"11","Muktsar","283","22835","281","22291","3","542","2"
"12","Kapurthala","551","22580","535","21976","9","601","3"
"13","Ropar","1146","19084","1134","18617","4","459","8"
"14","Ferozepur","479","18372","467","17827","3","540","5"
"15","Mansa","194","17419","190","17026","1","392","1"
"16","Faridkot","380","17216","380","16801","3","414","1"
"17","Sangrur","276","14710","268","13841","9","869","0"
"18","SBS Nagar","466","13868","470","13458","0","409","1"
"19","FG Sahib","728","12643","713","12193","1","437","13"
"20","Moga","248","11247","243","10974","6","272","1"
"21","Tarn Taran","153","11053","147","10652","1","399","2"
"22","Barnala","218","7718","215","7353","7","364","1"
"23","Malerkotla","61","4064","58","3849","4","215","0"
"","Total","24329","784857","23896","764170","205","20510","177"
