,Unnamed: 0,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,0,2021-11-25,DL,Central Delhi,,,,,,,,2021-11-26 11:55:56.389984,,,,1440784,25095,1415380,30653545
1,1,2021-11-25,DL,East Delhi,,,,,,,,2021-11-26 11:55:56.389984,,,,1440784,25095,1415380,30653545
2,2,2021-11-25,DL,New Delhi,,,,,,,,2021-11-26 11:55:56.389984,,,,1440784,25095,1415380,30653545
3,3,2021-11-25,DL,North Delhi,,,,,,,,2021-11-26 11:55:56.389984,,,,1440784,25095,1415380,30653545
4,4,2021-11-25,DL,North East Delhi,,,,,,,,2021-11-26 11:55:56.389984,,,,1440784,25095,1415380,30653545
5,5,2021-11-25,DL,North West Delhi,,,,,,,,2021-11-26 11:55:56.389984,,,,1440784,25095,1415380,30653545
6,6,2021-11-25,DL,Shahdara,,,,,,,,2021-11-26 11:55:56.389984,,,,1440784,25095,1415380,30653545
7,7,2021-11-25,DL,South Delhi,,,,,,,,2021-11-26 11:55:56.389984,,,,1440784,25095,1415380,30653545
8,8,2021-11-25,DL,South East Delhi,,,,,,,,2021-11-26 11:55:56.389984,,,,1440784,25095,1415380,30653545
9,9,2021-11-25,DL,South West Delhi,,,,,,,,2021-11-26 11:55:56.389984,,,,1440784,25095,1415380,30653545
10,10,2021-11-25,DL,West Delhi,,,,,,,,2021-11-26 11:55:56.389984,,,,1440784,25095,1415380,30653545
11,11,2021-11-25,DL,Unknown,,,,1440784.0,25095.0,1415380.0,,2021-11-26 11:55:56.389984,,,,1440784,25095,1415380,30653545
