"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","2280","112756","1991","109480","26","3005","271"
"2","SAS Nagar","3913","99602","3262","97795","13","1161","646"
"3","Jalandhar","1920","80185","1498","77836","8","1948","401"
"4","Patiala","1513","63593","1263","61646","4","1715","232"
"5","Amritsar","844","60399","691","58399","3","1843","157"
"6","Bathinda","1037","51904","825","50268","1","1424","212"
"7","Hoshiarpur","761","41903","542","40274","9","1409","220"
"8","Gurdaspur","242","27169","176","26249","3","867","53"
"9","Pathankot","390","24892","324","24339","2","519","34"
"10","Fazilka","289","23721","261","23064","0","621","36"
"11","Muktsar","145","22697","111","22121","0","539","37"
"12","Kapurthala","359","22388","264","21706","1","593","89"
"13","Ropar","692","18630","495","17978","3","458","194"
"14","Ferozepur","307","18200","215","17575","2","539","86"
"15","Mansa","158","17383","133","16969","1","393","21"
"16","Faridkot","287","17122","239","16660","3","413","49"
"17","Sangrur","215","14649","197","13770","2","862","17"
"18","SBS Nagar","281","13683","210","13198","0","409","76"
"19","FG Sahib","488","12403","410","11890","1","437","76"
"20","Moga","135","11134","92","10823","3","269","42"
"21","Tarn Taran","89","10989","56","10561","1","399","29"
"22","Barnala","134","7634","115","7253","1","358","23"
"23","Malerkotla","46","4050","37","3828","2","214","8"
"","Total","16525","777086","13407","753682","89","20395","3009"
