"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","7","40634","51","39995","273","1","366","0"
"2","Ballari","19","115295","118","113029","517","0","1747","2"
"3","Belagavi","42","99853","282","98196","659","0","996","2"
"4","Bengaluru Rural","5","79236","38","78198","132","0","906","0"
"5","Bengaluru Urban","646","1775342","1901","1752135","6398","8","16808","1"
"6","Bidar","5","29782","8","29328","32","0","418","4"
"7","Chamarajanagara","13","43536","17","42829","174","0","522","11"
"8","Chikkaballapura","7","55570","23","54865","245","1","459","1"
"9","Chikkamagaluru","3","57158","22","56548","204","0","406","0"
"10","Chitradurga","27","46078","55","45434","409","1","235","0"
"11","Dakshina 
Kannada","33","135272","87","133073","361","2","1828","10"
"12","Davanagere","2","57481","26","56772","87","0","622","0"
"13","Dharwada","18","83946","77","82382","197","2","1365","2"
"14","Gadag","2","30558","11","30192","31","0","335","0"
"15","Hassana","21","143720","67","142210","206","1","1302","2"
"16","Haveri","12","26801","26","26031","103","0","667","0"
"17","Kalaburagi","11","76471","19","75352","244","0","875","0"
"18","Kodagu","28","49058","100","48447","261","0","349","1"
"19","Kolara","6","62916","13","62159","94","1","663","0"
"20","Koppala","7","41249","6","40531","181","0","537","0"
"21","Mandya","28","101405","30","100543","159","0","703","0"
"22","Mysuru","64","229060","98","225981","524","1","2555","0"
"23","Raichuru","9","45414","28","44974","81","0","359","0"
"24","Ramanagara","10","29736","27","29323","67","0","346","0"
"25","Shivamogga","28","83093","167","81412","555","0","1125","1"
"26","Tumakuru","35","159529","122","157662","658","1","1209","0"
"27","Udupi","21","95440","69","94670","230","0","540","0"
"28","Uttara Kannada","9","71028","320","70088","132","0","808","0"
"29","Vijayapura","17","40952","58","40300","139","1","513","0"
"30","Yadagiri","2","29936","4","29648","78","0","210","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","1137","3935585","3870","3882340","13431","20","39777","37"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 19-02-2022 
 Page 5 of 14","","","","","","","","",""
