"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","1,938"
"2","Number of persons tested positive today in Tamil Nadu","471"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE - 2 
Malaysia - 1 
USA - 1"
"","Passengers returned from other states  by Road tested 
positive today","Uttar Pradesh - 1"
"","Total","476"
"3","Total Number of persons tested positive till date","34,58,445"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","14,268/ 
6,68,23,472@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","14,212/ 
6,56,45,639"
"6","No. of Male / Female / Transgender tested positive today","257/219/0"
"7","No. of Male / Female / Transgender tested positive till date","20,18,222/14,40,185/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","169/ 
34,18,481"
"10","Total number of deaths today/ till date","1(0 Private &  
1 Govt) /38,026"
