,Unnamed: 0,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,0,2021-11-24,DL,Central Delhi,,,,,,,,2021-11-25 11:03:46.877104,,,,1440754,25095,1415348,30597615
1,1,2021-11-24,DL,East Delhi,,,,,,,,2021-11-25 11:03:46.877104,,,,1440754,25095,1415348,30597615
2,2,2021-11-24,DL,New Delhi,,,,,,,,2021-11-25 11:03:46.877104,,,,1440754,25095,1415348,30597615
3,3,2021-11-24,DL,North Delhi,,,,,,,,2021-11-25 11:03:46.877104,,,,1440754,25095,1415348,30597615
4,4,2021-11-24,DL,North East Delhi,,,,,,,,2021-11-25 11:03:46.877104,,,,1440754,25095,1415348,30597615
5,5,2021-11-24,DL,North West Delhi,,,,,,,,2021-11-25 11:03:46.877104,,,,1440754,25095,1415348,30597615
6,6,2021-11-24,DL,Shahdara,,,,,,,,2021-11-25 11:03:46.877104,,,,1440754,25095,1415348,30597615
7,7,2021-11-24,DL,South Delhi,,,,,,,,2021-11-25 11:03:46.877104,,,,1440754,25095,1415348,30597615
8,8,2021-11-24,DL,South East Delhi,,,,,,,,2021-11-25 11:03:46.877104,,,,1440754,25095,1415348,30597615
9,9,2021-11-24,DL,South West Delhi,,,,,,,,2021-11-25 11:03:46.877104,,,,1440754,25095,1415348,30597615
10,10,2021-11-24,DL,West Delhi,,,,,,,,2021-11-25 11:03:46.877104,,,,1440754,25095,1415348,30597615
11,11,2021-11-24,DL,Unknown,,,,1440754.0,25095.0,1415348.0,,2021-11-25 11:03:46.877104,,,,1440754,25095,1415348,30597615
