"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 26-09-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"","1  Gurugram","15","123","300138","298989[31]","99.62","1026","34","58","312","5705520"
"2","Faridabad","3","19","135586","134826[3]","99.44","741","19","47","246","4178856"
"3","Hisar","4","15","63845","62648[3]","98.13","1182","10","15","140","2433089"
"4","Sonipat","0","2","59574","59296[2]","99.53","276","21","65","384","2357687"
"5","Karnal","0","11","49871","49260","98.77","600","14","18","111","2465656"
"6","Panchkula","0","19","48327","47887","99.09","421","3","4","23","1177418"
"7","Ambala","0","16","42819","42261[2]","98.70","542","2","84","33","2207156"
"8","Panipat","0","3","36744","36064","98.15","677","41","30","47","2129598"
"9","Sirsa","0","2","34208","33660","98.40","546","3","77","150","1987877"
"10  Rohtak","","0","8","33158","32596","98.31","537","5","162","23","1812792"
"","11  Yamunanagar","10","27","32660","32175[6]","98.52","458","40","348","38","2038777"
"","12  Kurukshetra","3","12","27803","27385[4]","98.50","406","54","36","82","1626046"
"13  Bhiwani","","1","13","27163","26483","97.50","667","1","0","86","1880588"
"14","Jind","0","0","25404","24860","97.86","544","10","65","81","1780519"
"","15  Mahendragarh","0","2","24999","24832","99.33","165","12","24","47","1446655"
"16  Rewari","","0","1","24982","24757","99.10","224","0","6","28","1627118"
"17","Jhajjar","1","4","24092","23728","98.49","354","1","1","24","1633735"
"18  Fatehabad","","0","4","20290","19786","97.52","500","5","21","51","1214077"
"19  Kaithal","","0","2","15194","14816[5]","97.51","376","3","39","423","1892970"
"20  Palwal","","0","2","13656","13479","98.70","175","5","10","33","1577388"
"21","Charkhi Dadri","0","0","8069","7922[1]","98.18","147","1","1","21","954020"
"22  Nuh","","0","1","6179","6039","97.73","139","0","0","0","1227251"
"Haryana","","37","286","1054761","1043749 [57]","98.96","10703","284","1111","2383","45354793"
