"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","2903","113379","2811","110300","37","3016","63"
"2","SAS Nagar","5083","100772","4877","99410","19","1167","195"
"3","Jalandhar","2680","80945","2539","78877","29","1969","99"
"4","Patiala","2029","64109","1951","62334","11","1722","53"
"5","Amritsar","1302","60857","1224","58932","6","1846","79"
"6","Bathinda","1388","52255","1314","50757","3","1426","72"
"7","Hoshiarpur","1215","42324","1114","40846","16","1416","62"
"8","Gurdaspur","328","27255","288","26361","3","867","27"
"9","Pathankot","481","24983","430","24445","4","521","17"
"10","Fazilka","424","23856","400","23203","0","621","32"
"11","Muktsar","253","22805","236","22246","3","542","17"
"12","Kapurthala","524","22553","485","21926","7","599","28"
"13","Ropar","1047","18985","956","18439","4","459","87"
"14","Ferozepur","441","18334","409","17769","3","540","25"
"15","Mansa","183","17408","176","17012","1","393","3"
"16","Faridkot","369","17205","362","16783","3","414","8"
"17","Sangrur","271","14705","258","13831","9","869","5"
"18","SBS Nagar","422","13824","409","13397","0","409","18"
"19","FG Sahib","665","12580","656","12136","1","437","7"
"20","Moga","225","11224","213","10944","4","270","10"
"21","Tarn Taran","133","11033","113","10618","1","399","16"
"22","Barnala","201","7701","185","7323","5","362","16"
"23","Malerkotla","60","4063","56","3847","3","214","2"
"","Total","22627","783155","21462","761736","172","20478","941"
