,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated3ForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,10766,10637,129,2023-07-24,TT,44995311,531915,44461932,2023-07-24 12:00:03.118385,933539686,2023-07-23 00:00:00,15840,2206723346,1027414228,951981278,227327840,991264,347616,353285,290363,https://www.icmr.gov.in/,47,0,46,34,10,29,73,0,0,0,0,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2340673,2325940,14733,2023-07-24,TT,44995311,531915,44461932,2023-07-24 12:00:03.118385,933539686,2023-07-23 00:00:00,15840,2206723346,1027414228,951981278,227327840,110957422,44704409,47578799,18674214,https://www.icmr.gov.in/,47,0,46,34,10,29,73,0,0,0,0,0,0,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,67049,66753,296,2023-07-24,TT,44995311,531915,44461932,2023-07-24 12:00:03.118385,933539686,2023-07-23 00:00:00,15840,2206723346,1027414228,951981278,227327840,1924584,961348,821819,141417,https://www.icmr.gov.in/,47,0,46,34,10,29,73,0,0,0,0,0,0,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,746150,738113,8035,2023-07-24,TT,44995311,531915,44461932,2023-07-24 12:00:03.118385,933539686,2023-07-23 00:00:00,15840,2206723346,1027414228,951981278,227327840,50335778,24813013,22150254,3372511,https://www.icmr.gov.in/,47,0,46,34,10,29,73,0,0,0,0,0,0,0,,,1332900000,Assam,34293000
4,Bihar,855260,842945,12314,2023-07-24,TT,44995311,531915,44461932,2023-07-24 12:00:03.118385,933539686,2023-07-23 00:00:00,15840,2206723346,1027414228,951981278,227327840,157290704,73485561,67912308,15892835,https://www.icmr.gov.in/,47,0,46,34,10,29,73,0,0,0,0,0,0,0,,,1332900000,Bihar,119520000
5,Chandigarh,100691,99506,1185,2023-07-24,TT,44995311,531915,44461932,2023-07-24 12:00:03.118385,933539686,2023-07-23 00:00:00,15840,2206723346,1027414228,951981278,227327840,2291544,1185776,991083,114685,https://www.icmr.gov.in/,47,0,46,34,10,29,73,0,0,0,0,0,0,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1187690,1173499,14190,2023-07-24,TT,44995311,531915,44461932,2023-07-24 12:00:03.118385,933539686,2023-07-23 00:00:00,15840,2206723346,1027414228,951981278,227327840,49167939,21267795,20343760,7556384,https://www.icmr.gov.in/,47,0,46,34,10,29,73,0,0,0,0,0,0,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,2023-07-24,TT,44995311,531915,44461932,2023-07-24 12:00:03.118385,933539686,2023-07-23 00:00:00,15840,2206723346,1027414228,951981278,227327840,1580060,782353,636962,160745,https://www.icmr.gov.in/,47,0,46,34,10,29,73,0,0,0,0,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,2040815,2014145,26665,2023-07-24,TT,44995311,531915,44461932,2023-07-24 12:00:03.118385,933539686,2023-07-23 00:00:00,15840,2206723346,1027414228,951981278,227327840,37409072,18297746,15717454,3393872,https://www.icmr.gov.in/,47,0,46,34,10,29,73,0,0,1,1,0,2,0,,,1332900000,Delhi,19814000
9,Goa,263325,259302,4014,2023-07-24,TT,44995311,531915,44461932,2023-07-24 12:00:03.118385,933539686,2023-07-23 00:00:00,15840,2206723346,1027414228,951981278,227327840,2874477,1440045,1295735,138697,https://www.icmr.gov.in/,47,0,46,34,10,29,73,0,0,0,0,2,0,0,,,1332900000,Goa,1540000
10,Gujarat,1291361,1280275,11079,2023-07-24,TT,44995311,531915,44461932,2023-07-24 12:00:03.118385,933539686,2023-07-23 00:00:00,15840,2206723346,1027414228,951981278,227327840,128105139,54398341,54032544,19674254,https://www.icmr.gov.in/,47,0,46,34,10,29,73,1,0,1,2,0,0,0,,,1332900000,Gujarat,67936000
11,Haryana,1078884,1068104,10754,2023-07-24,TT,44995311,531915,44461932,2023-07-24 12:00:03.118385,933539686,2023-07-23 00:00:00,15840,2206723346,1027414228,951981278,227327840,45546570,23681768,19849219,2015583,https://www.icmr.gov.in/,47,0,46,34,10,29,73,0,1,0,1,0,1,0,,,1332900000,Haryana,28672000
12,Himachal Pradesh,322857,318603,4241,2023-07-24,TT,44995311,531915,44461932,2023-07-24 12:00:03.118385,933539686,2023-07-23 00:00:00,15840,2206723346,1027414228,951981278,227327840,15325484,6646550,6328308,2350626,https://www.icmr.gov.in/,47,0,46,34,10,29,73,0,0,0,0,1,0,0,,,1332900000,Himachal Pradesh,7300000
13,Jammu and Kashmir,482020,477228,4792,2023-07-24,TT,44995311,531915,44461932,2023-07-24 12:00:03.118385,933539686,2023-07-23 00:00:00,15840,2206723346,1027414228,951981278,227327840,24782265,11372601,11768145,1641519,https://www.icmr.gov.in/,47,0,46,34,10,29,73,0,0,0,0,0,0,0,,,1332900000,Jammu and Kashmir,13203000
14,Jharkhand,443825,438490,5334,2023-07-24,TT,44995311,531915,44461932,2023-07-24 12:00:03.118385,933539686,2023-07-23 00:00:00,15840,2206723346,1027414228,951981278,227327840,43875945,23969121,17860835,2045989,https://www.icmr.gov.in/,47,0,46,34,10,29,73,0,0,0,0,0,0,0,,,1332900000,Jharkhand,37403000
15,Karnataka,4088684,4048318,40357,2023-07-24,TT,44995311,531915,44461932,2023-07-24 12:00:03.118385,933539686,2023-07-23 00:00:00,15840,2206723346,1027414228,951981278,227327840,122151007,55174662,55391578,11584767,https://www.icmr.gov.in/,47,0,46,34,10,29,73,2,0,0,2,0,4,0,,,1332900000,Karnataka,65798000
