"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","131","196","1479"
"Kollam","86","103","104"
"Pathanamthitta","79","101","383"
"Alappuzha","38","120","164"
"Kottayam","88","149","1317"
"Idukki","72","12","946"
"Ernakulam","122","290","1977"
"Thrissur","57","125","798"
"Palakkad","32","23","57"
"Malappuram","38","51","386"
"Kozhikode","77","195","509"
"Wayanad","21","73","387"
"Kannur","34","89","287"
"Kasaragod","10","27","52"
"Total","885","1554","8846"
