"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","2","35189","0","34854","2","0","333","0"
"2","Ballari","9","97889","0","96061","141","0","1687","0"
"3","Belagavi","45","80225","7","79121","156","0","948","0"
"4","Bengaluru Rural","15","62193","4","61240","61","0","892","0"
"5","Bengaluru Urban","2053","1268445","202","1240610","11423","3","16411","1"
"6","Bidar","2","24357","1","23944","5","0","404","4"
"7","Chamarajanagara","2","33126","0","32601","10","0","504","11"
"8","Chikkaballapura","5","44016","5","43570","13","0","432","1"
"9","Chikkamagaluru","4","51478","2","51040","40","0","398","0"
"10","Chitradurga","2","36787","0","36553","22","0","212","0"
"11","Dakshina 
Kannada","75","116620","7","114576","341","1","1696","7"
"12","Davanagere","3","51041","1","50414","19","0","608","0"
"13","Dharwada","29","61589","3","60157","105","0","1325","2"
"14","Gadag","2","26078","0","25755","4","0","319","0"
"15","Hassana","18","112383","6","111002","116","0","1263","2"
"16","Haveri","0","21961","0","21318","0","0","643","0"
"17","Kalaburagi","16","62034","0","61152","59","0","823","0"
"18","Kodagu","7","37817","3","37340","138","0","338","1"
"19","Kolara","14","47187","12","46484","60","0","643","0"
"20","Koppala","1","35211","0","34672","11","0","528","0"
"21","Mandya","17","74026","5","73271","98","0","657","0"
"22","Mysuru","48","180386","12","177791","167","0","2428","0"
"23","Raichuru","3","39997","0","39659","5","0","333","0"
"24","Ramanagara","5","24231","0","23897","11","0","323","0"
"25","Shivamogga","3","69753","1","68572","91","0","1090","0"
"26","Tumakuru","11","121378","3","120161","73","0","1144","0"
"27","Udupi","72","77335","10","76554","290","0","491","0"
"28","Uttara Kannada","4","56688","4","55874","36","0","778","0"
"29","Vijayapura","11","36319","0","35792","32","0","495","0"
"30","Yadagiri","1","27551","0","27342","3","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","2479","3013326","288","2961410","13532","4","38355","29"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
 
Date: 04-01-2022  
 Page 5 of 8","","","","","","","","",""
