"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
(including 
Pvt. Lab)","Positive 
in last 24 
hours","Positive 
Cumulative 
(including 
Pvt. Lab)","",""
"Almora","220","153","221774","0","12190","233964","567"
"Bageshwar","146","190","195447","0","5764","201211","354"
"Chamoli","292","563","269536","0","12242","281778","680"
"Champawat","401","582","223259","0","7602","230861","809"
"Dehradun","4279","4401","1762509","7","112360","1874869","1518"
"Haridwar","2041","2551","2011873","2","51497","2063370","540"
"Nainital","722","756","512618","5","39232","551850","630"
"Pauri Garhwal","422","519","363244","0","17686","380930","261"
"Pithoragarh","212","474","205165","1","10260","215425","538"
"Rudraprayag","261","232","182311","0","8800","191111","565"
"Tehri Garhwal","261","327","288959","0","15835","304794","424"
"US Nagar","702","436","869272","0","37875","907147","1003"
"Uttarkashi","479","544","321766","0","12548","334314","680"
"Total","10438","11728","7427733","15","343891","7771624","8569"
