"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","Districtwise Abstract of COVID-19","","","","","","","","","",""
"","Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#",""
"","1","Bagalakote","15","40544","65","39679","506","1","359","0",""
"","2","Ballari","112","115048","166","111962","1345","0","1739","2",""
"","3","Belagavi","96","99491","178","93759","4740","0","992","0",""
"","4","Bengaluru Rural","13","79179","30","77755","519","0","905","0",""
"","5","Bengaluru Urban","1059","1770868","2501","1739868","14230","7","16769","1",""
"","6","Bidar","20","29742","28","29197","125","0","416","4",""
"","7","Chamarajanagara","27","43412","108","42403","478","0","520","11",""
"","8","Chikkaballapura","27","55471","0","54479","535","0","456","1",""
"","9","Chikkamagaluru","35","57050","79","56318","327","0","405","0",""
"","10","Chitradurga","53","45896","215","44705","958","0","233","0",""
"","11","Dakshina 
Kannada","92","134996","117","132358","812","3","1817","9",""
"","12","Davanagere","28","57438","36","56535","283","2","620","0",""
"","13","Dharwada","72","83757","339","81662","740","2","1353","2",""
"","14","Gadag","30","30515","37","30018","163","0","334","0",""
"","15","Hassana","59","143534","189","141689","544","0","1299","2",""
"","16","Haveri","7","26678","24","25843","168","1","667","0",""
"","17","Kalaburagi","34","76348","159","74893","581","1","874","0",""
"","18","Kodagu","69","48863","16","47824","692","1","346","1",""
"","19","Kolara","18","62837","33","61912","265","0","660","0",""
"","20","Koppala","6","41201","44","40321","344","0","536","0",""
"","21","Mandya","51","101253","51","100022","532","0","699","0",""
"","22","Mysuru","148","228583","156","224590","1442","4","2551","0",""
"","23","Raichuru","17","45376","82","44730","289","0","357","0",""
"","24","Ramanagara","8","29646","12","29161","139","0","346","0",""
"","25","Shivamogga","72","82824","169","80609","1090","0","1124","1",""
"","26","Tumakuru","74","159209","296","156215","1789","2","1205","0",""
"","27","Udupi","54","95200","74","93931","737","1","532","0",""
"","28","Uttara Kannada","29","70896","26","69396","695","0","805","0",""
"","29","Vijayapura","41","40884","132","39899","477","1","508","0",""
"","30","Yadagiri","6","29894","33","29532","152","1","210","0",""
"","31","Others*","0","36","0","33","0","0","3","0",""
"","Total","","2372","3926669","5395","3851298","35697","27","39640","34",""
"","*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 13-02-2022 
 Page 5 of 18","","","","","","","","","",""
"","","","","","","","","","","",""
