"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","486","676","3308"
"Kollam","249","451","1607"
"Pathanamthitta","189","245","1103"
"Alappuzha","111","224","1338"
"Kottayam","314","260","2798"
"Idukki","157","302","1790"
"Ernakulam","436","813","4215"
"Thrissur","232","252","2259"
"Palakkad","114","146","600"
"Malappuram","115","251","1476"
"Kozhikode","198","445","2104"
"Wayanad","112","96","1119"
"Kannur","113","86","947"
"Kasaragod","20","78","248"
"Total","2846","4325","24912"
