"District","Persons under 
observation as 
on today","Persons under 
home/institutional 
quarantine as on today","Total persons under 
hospital Isolation as 
on today","Persons 
hospitalized 
today"
"Thiruvananthapuram","9145","8986","159","22"
"Kollam","6328","6199","129","26"
"Pathanamthitta","26314","26214","100","98"
"Alappuzha","1641","1588","53","2"
"Kottayam","10685","10497","188","0"
"Idukki","3825","3744","81","14"
"Ernakulam","6706","6412","294","24"
"Thrissur","6604","6507","97","19"
"Palakkad","10463","10397","66","4"
"Malappuram","3620","3540","80","2"
"Kozhikode","4078","3887","191","8"
"Wayanad","1007","949","58","7"
"Kannur","1491","1271","220","16"
"Kasaragod","2041","1874","167","1"
"Total","93948","92065","1883","243"
