"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","1504","1110305","3","19609"
"2","Thane","77","119428","0","2289"
"3","TMC","259","196764","2","2167"
"4","Navi Mumbai","205","173921","0","2090"
"5","KDMC","101","178098","0","2974"
"6","Ulhasnagar MC","15","26788","0","680"
"7","Bhivandi Nijampur MC","10","13243","0","496"
"8","Mira Bhayandar MC","68","78384","0","1227"
"9","Palghar","30","65046","0","1244"
"10","Vasai Virar MC","80","100939","1","2166"
"11","Raigad","136","140641","0","3466"
"12","Panvel MC","118","108806","0","1482"
"","Mumbai circle total","2603","2312363","6","39890"
"13","Nashik","6","183944","0","3814"
"14","Nashik MC","43","278639","0","4752"
