"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","227270","221296","5880","94"
"12","Nashik","473608","464449","8911","248"
"13","Ahmednagar","377977","370627","7242","108"
"14","Jalgaon","149681","146845","2762","74"
"15","Nandurbar","46632","45664","962","6"
"16","Dhule","50821","50133","670","18"
"17","Aurangabad","176822","172415","4284","123"
"18","Jalna","66382","65128","1224","30"
"19","Beed","109247","106351","2885","11"
"20","Latur","105106","102517","2489","100"
"21","Parbhani","58604","57317","1279","8"
"22","Hingoli","22208","21683","514","11"
"23","Nanded","102750","100007","2704","39"
"24","Osmanabad","75275","73074","2139","62"
"25","Amravati","106052","104401","1624","27"
"26","Akola","66315","64801","1470","44"
"27","Washim","45873","45076","641","156"
"28","Buldhana","92120","91204","836","80"
"29","Yavatmal","82065","80190","1820","55"
"30","Nagpur","577599","567918","9215","466"
"31","Wardha","65758","64324","1408","26"
"32","Bhandara","68064","66881","1142","41"
"33","Gondia","45461","44858","587","16"
"34","Chandrapur","98987","97338","1592","57"
