"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","841","1311","8411"
"Kollam","537","2321","2445"
"Pathanamthitta","263","678","2572"
"Alappuzha","321","1003","4083"
"Kottayam","456","1287","7074"
"Idukki","305","1090","5021"
"Ernakulam","767","1659","12805"
"Thrissur","386","1169","6102"
"Palakkad","230","595","2482"
"Malappuram","279","1039","4227"
"Kozhikode","428","966","5194"
"Wayanad","296","424","2705"
"Kannur","226","599","2167"
"Kasaragod","92","193","730"
"Total","5427","14334","66018"
