"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","Districtwise Abstract of COVID-19","","","","","","","","","",""
"","Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#",""
"","1","Bagalakote","19","40489","43","39569","562","2","358","0",""
"","2","Ballari","139","114810","417","111361","1710","1","1737","2",""
"","3","Belagavi","316","99145","1387","93427","4727","1","991","0",""
"","4","Bengaluru Rural","33","79145","26","77690","550","0","905","0",""
"","5","Bengaluru Urban","1725","1768516","4455","1733534","18229","11","16752","1",""
"","6","Bidar","27","29699","70","29134","147","0","414","4",""
"","7","Chamarajanagara","87","43323","302","42155","638","0","519","11",""
"","8","Chikkaballapura","48","55394","154","54421","516","0","456","1",""
"","9","Chikkamagaluru","36","56994","77","56175","414","2","405","0",""
"","10","Chitradurga","88","45752","285","44293","1227","1","232","0",""
"","11","Dakshina 
Kannada","91","134842","266","132061","962","6","1810","9",""
"","12","Davanagere","19","57391","171","56454","319","1","618","0",""
"","13","Dharwada","127","83616","223","81011","1254","2","1349","2",""
"","14","Gadag","34","30447","66","29911","202","0","334","0",""
"","15","Hassana","78","143415","315","141176","939","1","1298","2",""
"","16","Haveri","31","26652","89","25721","268","1","663","0",""
"","17","Kalaburagi","55","76271","187","74463","935","1","873","0",""
"","18","Kodagu","127","48695","267","47448","902","0","344","1",""
"","19","Kolara","36","62787","112","61807","320","0","660","0",""
"","20","Koppala","17","41177","115","40156","485","1","536","0",""
"","21","Mandya","65","101160","248","99769","692","3","699","0",""
"","22","Mysuru","226","228238","609","223969","1724","3","2545","0",""
"","23","Raichuru","16","45337","195","44537","445","0","355","0",""
"","24","Ramanagara","31","29618","51","29112","160","0","346","0",""
"","25","Shivamogga","137","82597","306","80175","1298","1","1123","1",""
"","26","Tumakuru","194","158993","353","155258","2534","2","1201","0",""
"","27","Udupi","74","95079","209","93696","853","0","530","0",""
"","28","Uttara Kannada","49","70805","130","69289","712","0","804","0",""
"","29","Vijayapura","33","40789","194","39644","639","1","506","0",""
"","30","Yadagiri","18","29883","55","29466","208","0","209","0",""
"","31","Others*","0","36","0","33","0","0","3","0",""
"","Total","","3976","3921095","11377","3836915","44571","41","39575","34",""
"","*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 11-02-2022 
 Page 5 of 29","","","","","","","","","",""
"","","","","","","","","","","",""
