"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","87650","14","85527","2109"
"2","SAS Nagar","68909","35","67803","1071"
"3","Jalandhar","63463","28","61938","1497"
"4","Patiala","48949","8","47582","1359"
"5","Amritsar","47419","10","45811","1598"
"6","Bathinda","41775","30","40702","1043"
"7","Hoshiarpur","30885","25","29869","991"
"8","Gurdaspur","22394","7","21585","802"
"9","Fazilka","20279","4","19746","529"
"10","Pathankot","18896","37","18434","425"
"11","Muktsar","18786","2","18260","524"
"12","Kapurthala","17865","4","17305","556"
"13","Sangrur","15768","3","14890","875"
"14","Mansa","15608","0","15228","380"
"15","Ferozepur","14381","20","13857","504"
"16","Faridkot","13938","2","13619","317"
"17","Ropar","12976","2","12550","424"
"18","SBS Nagar","11472","0","11084","388"
"19","FG Sahib","8899","14","8549","336"
"20","Moga","8682","4","8444","234"
"21","Tarn Taran","8054","5","7669","380"
"22","Barnala","5954","8","5702","244"
"","Total","603002","262","586154","16586"
