"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109745","34","107434","2277"
"2","SAS Nagar","95660","36","94479","1145"
"3","Jalandhar","78257","28","76651","1578"
"4","Patiala","62014","16","60541","1457"
"5","Amritsar","59385","11","57692","1682"
"6","Bathinda","50846","3","49755","1088"
"7","Hoshiarpur","40818","21","39702","1095"
"8","Gurdaspur","26929","7","26059","863"
"9","Pathankot","24517","29","23993","495"
"10","Fazilka","23369","13","22811","545"
"11","Muktsar","22544","5","22001","538"
"12","Kapurthala","22023","12","21432","579"
"13","Ropar","17933","3","17475","455"
"14","Ferozepur","17892","4","17356","532"
"15","Mansa","17228","2","16834","392"
"16","Faridkot","16731","9","16384","338"
"17","Sangrur","14307","2","13570","735"
"18","SBS Nagar","13390","1","12982","407"
"19","FG Sahib","11831","2","11475","354"
"20","Moga","10983","4","10725","254"
"21","Tarn Taran","10891","10","10487","394"
"22","Barnala","7489","12","7132","345"
"23","Malerkotla","3967","1","3790","176"
"","Total","758749","265","740760","17724"
