,Unnamed: 0,44,Unnamed: 1,अयोध्या,Unnamed: 2,7,Unnamed: 3,4,Unnamed: 4,18620,Unnamed: 5,0,Unnamed: 6,292,Unnamed: 7,32,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,सहारनपरु,,0.0,,5.0,,38299.0,,0.0,,426.0,,32.0,,,,,
1,,46,,क्रिरोजाबाद,,2.0,,8.0,,10498.0,,0.0,,136.0,,30.0,,,,,
2,,47,,सतं कबीर नगर,,5.0,,6.0,,8805.0,,0.0,,101.0,,30.0,,,,,
3,,48,,बागपत,,3.0,,5.0,,10991.0,,0.0,,143.0,,29.0,,,,,
4,,49,,बादा,,2.0,,10.0,,11996.0,,0.0,,166.0,,29.0,,,,,
5,,50,,कौशाम्बी,,6.0,,6.0,,4820.0,,0.0,,72.0,,29.0,,,,,
6,,51,,भदोही,,1.0,,5.0,,8433.0,,0.0,,165.0,,28.0,,,,,
7,,52,,अमठेी,,0.0,,11.0,,11426.0,,0.0,,145.0,,27.0,,,,,
8,,53,,मनैपरुी,,2.0,,2.0,,11431.0,,0.0,,189.0,,26.0,,,,,
9,,54,,इटावा,,0.0,,9.0,,15735.0,,0.0,,296.0,,25.0,,,,,
10,,55,,कानपरु देहात,,0.0,,8.0,,7087.0,,0.0,,110.0,,24.0,,,,,
11,,56,,श्रावस्ती,,0.0,,25.0,,5205.0,,0.0,,41.0,,23.0,,,,,
12,,57,,चदंौली,,2.0,,6.0,,17494.0,,0.0,,378.0,,22.0,,,,,
13,,58,,मजुफ्फरनगर,,2.0,,16.0,,38273.0,,0.0,,277.0,,22.0,,,,,
14,,59,,मरुादाबाद,,7.0,,0.0,,46045.0,,0.0,,366.0,,21.0,,,,,
15,,60,,बदाय,,5.0,,1.0,,17886.0,,0.0,,101.0,,19.0,,,,,
16,,61,,बस्ती,,3.0,,7.0,,12751.0,,0.0,,336.0,,19.0,,,,,
17,,62,,सभंल,,0.0,,1.0,,11004.0,,0.0,,109.0,,19.0,,,,,
18,,63,,हार्रस,,0.0,,0.0,,3699.0,,0.0,,43.0,,17.0,,,,,
19,,64,,बललया,,1.0,,0.0,,22494.0,,0.0,,245.0,,16.0,,,,,
20,,65,,औरैय्या,,0.0,,3.0,,10755.0,,0.0,,211.0,,15.0,,,,,
21,,66,,मऊ,,0.0,,0.0,,8912.0,,0.0,,85.0,,15.0,,,,,
22,,67,,कासगजं,,3.0,,4.0,,4865.0,,0.0,,55.0,,14.0,,,,,
23,,68,,शामली,,3.0,,4.0,,16668.0,,0.0,,48.0,,13.0,,,,,
24,,69,,गाजीपरु,,2.0,,9.0,,23845.0,,0.0,,295.0,,12.0,,,,,
25,,70,,हापड़ु,,4.0,,4.0,,15168.0,,0.0,,222.0,,12.0,,,,,
26,,71,,चचत्रकट,,5.0,,4.0,,7727.0,,0.0,,79.0,,11.0,,,,,
27,,72,,बलरामपरु,,1.0,,1.0,,8096.0,,0.0,,139.0,,8.0,,,,,
28,,73,,लमर्ापरु,,1.0,,6.0,,11937.0,,1.0,,124.0,,6.0,,,,,
29,,74,,रामपरु,,0.0,,0.0,,14594.0,,0.0,,153.0,,6.0,,,,,
30,,75,,महोबा,,1.0,,2.0,,4454.0,,0.0,,88.0,,2.0,,,,,
31,,Total,,,,,,,540.0,,1135.0,,2036281.0,,3.0,,23438.0,,5693.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23438 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
