"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","432","847","2688"
"Kollam","197","121","1399"
"Pathanamthitta","100","243","876"
"Alappuzha","114","240","1005"
"Kottayam","213","536","1940"
"Idukki","118","296","1558"
"Ernakulam","354","650","3341"
"Thrissur","126","342","1586"
"Palakkad","70","223","273"
"Malappuram","102","330","1075"
"Kozhikode","177","415","1445"
"Wayanad","89","227","840"
"Kannur","85","168","772"
"Kasaragod","45","35","253"
"Total","2222","4673","19051"
