"Districts","No. of Positive 
Cases Since 
01.01.2022","No. of Positive Cases 
Treated/ Cured Since 
01.01.2022","Active Cases in the 
District","Deaths Since 
01.01.2022","Migrated Positive 
Cases Since 
01.01.2022"
"Almora","4376","3990","14","4","374"
"Bageshwar","2060","1971","9","0","84"
"Chamoli","3129","2871","153","3","104"
"Champawat","1831","1577","236","1","20"
"Dehradun","32081","31639","54","161","362"
"Haridwar","12738","12304","208","22","234"
"Nainital","11126","11042","88","29","37"
"Pauri Garhwal","5150","4100","72","16","969"
"Pithoragarh","2489","2292","73","4","132"
"Rudraprayag","2644","2483","38","2","121"
"Tehri Garhwal","2313","1943","57","5","315"
"U.S. Nagar","8715","8418","51","5","265"
"Uttarkashi","1584","1408","16","4","158"
"Total","90236","86038","1069","256","3175"
