"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","6,798"
"2","Number of persons tested positive today in Tamil Nadu","590"
"","Passengers returned from other countries  by 
International airport tested positive today","UK-4 
Africa-1 
Europe-1"
"","Passengers returned from other states  by Road tested 
positive today","Andhra Pradesh-1"
"","Total","597"
"3","Total Number of persons tested positive till date","27,42,821"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,02,947/ 
5,67,25,248@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,02,720/ 
5,57,87,141"
"6","No. of Male / Female / Transgender tested positive today","338/259/0"
"7","No. of Male / Female / Transgender tested positive till date","16,00,944/11,41,839/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","318 (69 Govt+ 
249 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","681/ 
26,99,309"
"10","Total number of deaths today/ till date","7(3 Private &  
4 Govt) /36,714)"
