"S. No","Subject","Number"
"1","Total Number of people vaccinated on 3rd Jan","52,548"
"2","First Dose on 3rd Jan","3,540"
"3","Second Dose on 3rd Jan","49,008"
"4","Cumulative Vaccination till 3rd Jan","10,42,92,876"
"5","Cumulative Vaccination First Dose","6,44,34,755"
"6","Cumulative Vaccination Second Dose","3,98,58,121"
"7","Number of CVC (Common Vaccination Centres)","1,103"
"8","Cumulative AEFI cases reported","6,184"
"9","Vaccine wastage","-7%"
