"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","3003","113479","2897","110386","37","3016","77"
"2","SAS Nagar","5196","100885","5099","99632","20","1168","85"
"3","Jalandhar","2739","81004","2655","78993","37","1977","34"
"4","Patiala","2071","64151","2027","62410","11","1722","19"
"5","Amritsar","1358","60913","1329","59037","6","1846","30"
"6","Bathinda","1516","52383","1445","50888","4","1427","68"
"7","Hoshiarpur","1265","42374","1208","40940","16","1416","18"
"8","Gurdaspur","341","27268","311","26384","5","869","15"
"9","Pathankot","499","25001","453","24468","4","521","12"
"10","Fazilka","457","23889","451","23254","0","621","14"
"11","Muktsar","270","22822","257","22267","3","542","13"
"12","Kapurthala","538","22567","514","21955","7","599","13"
"13","Ropar","1096","19034","1066","18549","4","459","26"
"14","Ferozepur","459","18352","441","17801","3","540","11"
"15","Mansa","188","17413","184","17020","1","392","1"
"16","Faridkot","377","17213","375","16796","3","414","3"
"17","Sangrur","275","14709","262","13835","9","869","5"
"18","SBS Nagar","447","13849","449","13437","0","409","3"
"19","FG Sahib","689","12604","677","12157","1","437","10"
"20","Moga","238","11237","230","10961","6","272","4"
"21","Tarn Taran","144","11044","133","10638","1","399","7"
"22","Barnala","207","7707","202","7340","6","363","4"
"23","Malerkotla","60","4063","58","3849","3","214","0"
"","Total","23433","783961","22723","762997","187","20492","472"
