TT|2022-07-09 07:55:11.726889|GetSource|ERR|File Not Found
TT|2022-07-09 09:55:11.278259|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-07-09 09:55:23.424633|ExtractFromHTML|OK|COMPLETED
TT|2022-07-09 11:55:10.903744|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-07-09 11:55:25.905906|ExtractFromHTML|OK|COMPLETED
TT|2022-07-09 19:55:11.885511|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-07-09 19:55:40.628340|ExtractFromHTML|OK|COMPLETED
TT|2022-07-09 20:55:13.245466|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-07-09 20:55:42.412669|ExtractFromHTML|OK|COMPLETED
TT|2022-07-09 21:55:11.389188|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-07-09 21:55:53.679705|ExtractFromHTML|OK|COMPLETED
TT|2022-07-09 22:55:12.337116|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-07-09 22:55:34.855848|ExtractFromHTML|OK|COMPLETED
TT|2022-07-09 23:55:10.974976|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-07-09 23:55:29.817455|ExtractFromHTML|OK|COMPLETED
TT|2022-07-10 07:55:12.529860|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-07-10 09:55:11.871622|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
