"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 11-06-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1  Gurugram","","260","961","276207","274239 [99] ↑","99.29%","1007","182","681","4300","5392654"
"2","Faridabad","86","307","130214","129166 [16] ↑","99.20%","741","134","428","1473","4059363"
"3  Hisar","","4","18","62187","60994 [4] ↑","98.08%","1175","150","313","129","2353935"
"4","Sonipat","1","18","58744","58450 [2] ↑","99.50%","276","21","188","207","2293069"
"5","Karnal","2","9","48274","47669","98.75%","596","60","370","219","2395597"
"6","Panchkula","30","74","44455","43967 [3] ↑","98.90%","414","84","322","666","1128068"
"7","Ambala","4","22","40836","40272","98.62%","542","52","142","853","2142048"
"8","Panipat","0","9","36124","35443 [1] ↑","98.11%","672","54","251","474","2059042"
"9","Sirsa","0","4","33419","32876","98.38%","539","40","217","283","1940585"
"10  Rohtak","","3","16","32004","31434 [1] ↑","98.22%","537","74","2276","720","1706453"
"","11  Yamunanagar","0","5","30699","30239","98.50%","455","69","944","376","1966240"
"12  Kurukshetra","","1","15","26878","26465 [1] ↑","98.46%","398","29","265","272","1559795"
"13  Bhiwani","","0","14","26554","25875","97.44%","665","118","595","655","1780825"
"","14  Mahendragarh","0","0","24754","24589","99.33%","165","82","275","380","1386467"
"15  Rewari","","2","5","24662","24433 [2] ↑","99.07%","224","95","409","1217","1576499"
"16","Jind","3","6","24370","23822 [3] ↑","97.75%","542","42","446","255","1720767"
"17","Jhajjar","2","8","23532","23168","98.45%","350","28","133","193","1580245"
"18  Fatehabad","","0","3","20082","19581","97.51%","498","1","14","19","1193753"
"19  Kaithal","","7","17","14265","13877","97.28%","371","23","433","466","1773609"
"20  Palwal","","0","1","13509","13338","98.73%","170","31","67","145","1539484"
"","21  Charkhi Dadri","6","10","7468","7313","97.92%","145","7","57","641","901683"
"22  Nuh","","0","3","6122","5980","97.68%","139","3","17","25","1222173"
"HARYANA","","411","1525","1005359","993190 [132] ↑","98.79%","10621","1379","8843","13968","43672354"
