"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
26-12-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","68","182228","181033[18]","99.34","926","269","1969","4876","4185000"
"2","Faridabad","4","100066","99300[1]","99.23","717","49","4810","13247","3036120"
"3","Hisar","0","54005","52865","97.89","1137","3","6053","13811","1702354"
"4","Sonepat","0","47148","46891","99.45","254","3","3251","7072","1713944"
"5","Karnal","0","40076","39500[2]","98.56","554","22","3795","10781","1786955"
"6","Panipat","1","31166","30518","97.92","638","10","3272","8143","1480948"
"7","Panchkula","4","30942","30508[3]","98.60","381","53","577","1503","860491"
"8","Ambala","10","30180","29646","98.23","509","25","645","1427","1767145"
"9","Sirsa","0","29306","28791[2]","98.24","509","6","8648","15775","1474105"
"10","Rohtak","1","25924","25371","97.87","534","2","2838","3757","1234609"
"11","Yamunanagar","4","24670","24244","98.27","414","12","598","2405","1396060"
"12","Bhiwani","0","22413","21758","97.08","652","3","1211","3889","1408048"
"13","Kurukshetra","0","22172","21805[1]","98.34","357","10","1766","4848","1082054"
"14","Mahindergarh","0","21689","21534","99.29","155","0","1937","6989","1053715"
"15","Jind","0","21210","20677","97.49","533","0","3350","5638","1271753"
"16","Rewari","0","20330","20109","98.91","221","0","2918","10765","1230254"
"17","Jhajjar","0","18853","18516","98.21","328","3","1710","4222","1211306"
"18","Fatehabad","0","17880","17398","97.30","482","0","1311","4737","927989"
"19","Kaithal","0","11251","10904","96.92","346","1","824","650","1256940"
"20","Palwal","0","11031","10877","98.60","153","1","1359","3680","1116635"
"21","Charkhi Dadri","0","5079","4940","97.26","139","0","109","150","704555"
"22","Nuh","0","5014","4891","97.55","123","0","1051","3529","824166"
"Haryana","","92","772633","762076[27]","98.63","10062","472","54002","131894","32725146"
