"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","8,586"
"2","Number of persons tested positive today in Tamil Nadu","922"
"","Passengers returned from other countries  by 
International airport tested positive today","Bangladesh-1 
Germany-1"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Delhi-2 
Assam-1"
"","Total","927"
"3","Total Number of persons tested positive till date","35,55,538"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","25,362/ 
6,84,25,406@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","24,945/ 
6,72,17,428"
"6","No. of Male / Female / Transgender tested positive today","557/370/0"
"7","No. of Male / Female / Transgender tested positive till date","20,73,285/14,82,215/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (77 Govt+ 
270  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,252/ 
35,08,919"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,033"
