"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on   
09-11-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","9","181492","180516[5]","99.46","922","54","5039","11806","3632317"
"2","Faridabad","0","99911","99185[2]","99.27","716","10","2734","6441","2540927"
"3","Hisar","1","53996","52859","97.89","1136","1","1636","4626","1348142"
"4","Sonepat","0","47139","46884","99.46","254","1","2424","5378","1427509"
"5","Karnal","0","40038","39484","98.62","552","2","1604","5723","1475748"
"6","Panipat","1","31151","30512","97.95","638","1","2366","3897","1124556"
"7","Panchkula","0","30777","30392[1]","98.75","379","6","531","2540","746667"
"8","Ambala","0","30150","29641","98.31","509","0","570","5485","1467440"
"9","Sirsa","0","29282","28774","98.27","508","0","1648","4305","1079720"
"10","Rohtak","1","25911","25352","97.84","534","8","1902","4326","1007646"
"11","Yamunanagar","0","24635","24217","98.30","414","4","832","3332","1186267"
"12","Bhiwani","0","22409","21757","97.09","652","0","1274","6241","1095847"
"13","Kurukshetra","1","22149","21791","98.38","357","1","734","2057","868235"
"14","Mahindergarh","0","21689","21534","99.29","155","0","1212","3800","857926"
"15","Jind","0","21209","20676","97.49","533","0","2318","4507","984672"
"16","Rewari","0","20328","20106","98.91","221","1","1244","3283","957952"
"17","Jhajjar","0","18849","18515","98.23","328","0","1407","6302","1004435"
"18","Fatehabad","0","17876","17394","97.30","481","1","879","2444","786870"
"19","Kaithal","2","11246","10898","96.91","346","2","1046","3205","846524"
"20","Palwal","0","11026","10872","98.60","153","1","2050","4138","850651"
"21","Charkhi Dadri","0","5078","4939","97.26","139","0","171","2167","638463"
"22","Nuh","0","5014","4891","97.55","123","0","1899","923","445451"
"Total","","15","771355","761189[8]","98.68","10050","93","35520","96926","26373965"
