"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","2895","113371","2794","110283","37","3016","72"
"2","SAS Nagar","5064","100753","4822","99355","19","1167","231"
"3","Jalandhar","2674","80939","2504","78842","29","1969","128"
"4","Patiala","2020","64100","1943","62326","11","1722","52"
"5","Amritsar","1291","60846","1195","58903","6","1846","97"
"6","Bathinda","1377","52244","1300","50743","3","1426","75"
"7","Hoshiarpur","1203","42312","1104","40836","16","1416","60"
"8","Gurdaspur","330","27257","283","26356","3","867","34"
"9","Pathankot","479","24981","427","24442","4","521","18"
"10","Fazilka","423","23855","396","23199","0","621","35"
"11","Muktsar","249","22801","232","22242","3","542","17"
"12","Kapurthala","519","22548","479","21920","6","598","30"
"13","Ropar","1040","18978","945","18428","4","459","91"
"14","Ferozepur","441","18334","403","17763","3","540","31"
"15","Mansa","182","17407","175","17011","1","393","3"
"16","Faridkot","368","17204","361","16782","3","414","8"
"17","Sangrur","271","14705","258","13831","9","869","5"
"18","SBS Nagar","419","13821","407","13395","0","409","17"
"19","FG Sahib","664","12579","651","12131","1","437","11"
"20","Moga","223","11222","212","10943","4","270","9"
"21","Tarn Taran","128","11028","107","10612","1","399","17"
"22","Barnala","195","7695","183","7321","5","362","12"
"23","Malerkotla","60","4063","56","3847","3","214","2"
"","Total","22515","783043","21237","761511","171","20477","1055"
