"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109767","17","107472","2278"
"2","SAS Nagar","95680","16","94516","1148"
"3","Jalandhar","78275","13","76684","1578"
"4","Patiala","62029","9","60563","1457"
"5","Amritsar","59389","2","57705","1682"
"6","Bathinda","50866","4","49774","1088"
"7","Hoshiarpur","40828","15","39717","1096"
"8","Gurdaspur","26937","5","26069","863"
"9","Pathankot","24527","12","24020","495"
"10","Fazilka","23384","9","22830","545"
"11","Muktsar","22548","0","22009","539"
"12","Kapurthala","22030","6","21445","579"
"13","Ropar","17936","3","17478","455"
"14","Ferozepur","17899","6","17356","537"
"15","Mansa","17228","1","16835","392"
"16","Faridkot","16778","12","16428","338"
"17","Sangrur","14308","1","13572","735"
"18","SBS Nagar","13394","1","12986","407"
"19","FG Sahib","11834","1","11479","354"
"20","Moga","10985","2","10729","254"
"21","Tarn Taran","10898","7","10497","394"
"22","Barnala","7494","4","7142","348"
"23","Malerkotla","3967","1","3790","176"
"","Total","758981","147","741096","17738"
