,Unnamed: 0,44,Unnamed: 1,इट व,Unnamed: 2,0,Unnamed: 3,1,Unnamed: 4,15797,Unnamed: 5,0.1,Unnamed: 6,297,Unnamed: 7,10,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,मनैपरुी,,0.0,,0.0,,11564.0,,0.0,,189.0,,10.0,,,,,
1,,46,,मथरु,,0.0,,2.0,,25769.0,,0.0,,406.0,,10.0,,,,,
2,,47,,शामली,,1.0,,2.0,,16726.0,,0.0,,48.0,,8.0,,,,,
3,,48,,लसद्ध थ ुनगर,,0.0,,0.0,,11544.0,,0.0,,102.0,,7.0,,,,,
4,,49,,उन्न व,,1.0,,1.0,,17002.0,,0.0,,257.0,,7.0,,,,,
5,,50,,अमठेी,,0.0,,0.0,,11536.0,,0.0,,145.0,,6.0,,,,,
6,,51,,बहर इच,,0.0,,1.0,,13438.0,,0.0,,178.0,,6.0,,,,,
7,,52,,क्रिरोजाबाद,,3.0,,1.0,,10655.0,,0.0,,136.0,,6.0,,,,,
8,,53,,मजुफ्फरनगर,,0.0,,0.0,,38371.0,,0.0,,277.0,,6.0,,,,,
9,,54,,बलर मपरु,,0.0,,0.0,,8138.0,,0.0,,139.0,,5.0,,,,,
10,,55,,गोंड,,0.0,,2.0,,14213.0,,0.0,,285.0,,5.0,,,,,
11,,56,,हापड़ु,,0.0,,2.0,,15215.0,,0.0,,224.0,,5.0,,,,,
12,,57,,मऊ,,0.0,,1.0,,8956.0,,0.0,,86.0,,5.0,,,,,
13,,58,,ज लौन,,0.0,,2.0,,13938.0,,0.0,,209.0,,4.0,,,,,
14,,59,,सतं कबीर नगर,,0.0,,0.0,,8862.0,,0.0,,101.0,,4.0,,,,,
15,,60,,एट,,0.0,,0.0,,12115.0,,0.0,,100.0,,3.0,,,,,
16,,61,,फतहेपरु,,0.0,,0.0,,8442.0,,0.0,,141.0,,3.0,,,,,
17,,62,,लमर् ुपरु,,0.0,,2.0,,11973.0,,0.0,,126.0,,3.0,,,,,
18,,63,,बबजनौर,,0.0,,1.0,,18307.0,,0.0,,139.0,,2.0,,,,,
19,,64,,ह थरस,,0.0,,0.0,,3726.0,,0.0,,43.0,,2.0,,,,,
20,,65,,क नपरु देह त,,0.0,,0.0,,7132.0,,0.0,,111.0,,2.0,,,,,
21,,66,,श्र वस्ती,,0.0,,0.0,,5250.0,,0.0,,42.0,,2.0,,,,,
22,,67,,हमीरपरु,,0.0,,0.0,,6251.0,,0.0,,103.0,,1.0,,,,,
23,,68,,क सगजं,,0.0,,0.0,,4902.0,,0.0,,55.0,,1.0,,,,,
24,,69,,कौश म्बी,,0.0,,0.0,,4884.0,,0.0,,72.0,,1.0,,,,,
25,,70,,लललतपरु,,0.0,,0.0,,14930.0,,0.0,,134.0,,1.0,,,,,
26,,71,,र मपरु,,0.0,,2.0,,14626.0,,0.0,,153.0,,1.0,,,,,
27,,72,,ब द,,0.0,,1.0,,12169.0,,0.0,,169.0,,0.0,,,,,
28,,73,,भदोही,,0.0,,1.0,,8503.0,,0.0,,166.0,,0.0,,,,,
29,,74,,चचत्रकट,,0.0,,0.0,,7811.0,,0.0,,79.0,,0.0,,,,,
30,,75,,महोब,,0.0,,0.0,,4476.0,,0.0,,89.0,,0.0,,,,,
31,,Total,,,,,,,318.0,,567.0,,2066162.0,,1.0,,23542.0,,2569.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23538 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
