District,Recovered,Deceased,Active
लखनऊ,297052,2695,643
गौतम बिु नगर,104106,491,416
गाज़ियाबाद,87179,474,186
लखीमपरु-खीरी,30155,301,120
गोरखपरु,66206,866,111
िाराणसी,98063,989,103
मरेठ,88324,932,68
झ सी,44238,675,59
अयोध्य,18787,293,45
कानपरु नगर,91852,1923,43
प्रय गर ज,87661,1123,39
मह र जगजं,14947,146,33
र य बरेली,21507,348,29
सहारनपरु,38486,428,28
देवररय,22483,230,27
कुशीनगर,16260,235,26
अमरोह,19315,208,24
बागपत,11099,144,24
पीलीभीत,12823,207,24
औरैय्य,10885,211,23
हरदोई,17469,376,23
ब र बकंी,23804,227,22
बलुदंशहर,26544,254,22
सोनभद्र,18716,257,21
जौनपरु,24552,244,20
कन्नौज,10926,126,19
बरेली,50181,377,17
बस्ती,12851,337,17
सीत परु,15815,189,17
अम्बडेकर नगर,6000,168,16
चदंौली,17692,381,16
मरुादाबाद,46165,369,16
सलु्त नपरु,16917,144,16
गाजीपरु,23917,296,15
प्रतापगढ़,16827,163,15
आगरा,36092,465,14
आजमगढ़,19507,237,14
बललय,22525,246,14
श हजह ंपरु,24491,446,13
अलीगढ,25624,113,12
सभंल,11068,109,12
फरु्रख ब द,11892,197,11
बद य,17938,101,10
