,Unnamed: 0,S.No.,Unnamed: 1,जनपद का नाम,Unnamed: 2,विगत 24 घटंों कीअिधि म  ससंधूितपषु्ट रोगी,Unnamed: 3,विगत 24 घटंों कीअिधि म  ससंधूितडिस्िाज,Unnamed: 4,आज तक कुलडिस्िाज,Unnamed: 5,विगत 24 घटंों कीअिधि म  ससंधूितमतृ्य,Unnamed: 6,कोविििनात्मकरोधगयों मकुल मतृ्य ु*,Unnamed: 7,ितमान म कुलसक्रिय केसजे कीसखं्या,Unnamed: 8,Unnamed: 9
0,,1,,लखनऊ,,57,,195,,297052,,0,,2695,,643,,
1,,2,,गौतम बिु नगर,,55,,102,,104106,,0,,491,,416,,
2,,3,,गाज़ियाबाद,,28,,41,,87179,,0,,474,,186,,
3,,4,,लखीमपरु-खीरी,,23,,6,,30155,,0,,301,,120,,
4,,5,,गोरखपरु,,16,,14,,66206,,0,,866,,111,,
5,,6,,िाराणसी,,18,,10,,98063,,1,,989,,103,,
6,,7,,मरेठ,,12,,8,,88324,,0,,932,,68,,
7,,8,,झ सी,,8,,18,,44238,,0,,675,,59,,
8,,9,,अयोध्य,,3,,7,,18787,,0,,293,,45,,
9,,10,,कानपरु नगर,,8,,7,,91852,,0,,1923,,43,,
10,,11,,प्रय गर ज,,6,,9,,87661,,0,,1123,,39,,
11,,12,,मह र जगजं,,20,,3,,14947,,0,,146,,33,,
12,,13,,र य बरेली,,3,,7,,21507,,0,,348,,29,,
13,,14,,सहारनपरु,,3,,6,,38486,,0,,428,,28,,
14,,15,,देवररय,,0,,3,,22483,,0,,230,,27,,
15,,16,,कुशीनगर,,0,,1,,16260,,0,,235,,26,,
16,,17,,अमरोह,,2,,17,,19315,,0,,208,,24,,
17,,18,,बागपत,,3,,0,,11099,,0,,144,,24,,
18,,19,,पीलीभीत,,5,,3,,12823,,0,,207,,24,,
19,,20,,औरैय्य,,4,,5,,10885,,0,,211,,23,,
20,,21,,हरदोई,,2,,6,,17469,,0,,376,,23,,
21,,22,,ब र बकंी,,6,,3,,23804,,0,,227,,22,,
22,,23,,बलुदंशहर,,6,,8,,26544,,0,,254,,22,,
23,,24,,सोनभद्र,,2,,3,,18716,,0,,257,,21,,
24,,25,,जौनपरु,,2,,2,,24552,,0,,244,,20,,
25,,26,,कन्नौज,,0,,3,,10926,,0,,126,,19,,
26,,27,,बरेली,,2,,5,,50181,,0,,377,,17,,
27,,28,,बस्ती,,4,,9,,12851,,0,,337,,17,,
28,,29,,सीत परु,,1,,3,,15815,,0,,189,,17,,
29,,30,,अम्बडेकर नगर,,1,,1,,6000,,0,,168,,16,,
30,,31,,चदंौली,,2,,5,,17692,,0,,381,,16,,
31,,32,,मरुादाबाद,,0,,7,,46165,,0,,369,,16,,
32,,33,,सलु्त नपरु,,0,,1,,16917,,0,,144,,16,,
33,,34,,गाजीपरु,,0,,3,,23917,,0,,296,,15,,
34,,35,,प्रतापगढ़,,3,,2,,16827,,0,,163,,15,,
35,,36,,आगरा,,1,,2,,36092,,0,,465,,14,,
36,,37,,आजमगढ़,,1,,5,,19507,,0,,237,,14,,
37,,38,,बललय,,3,,1,,22525,,0,,246,,14,,
38,,39,,श हजह ंपरु,,1,,3,,24491,,0,,446,,13,,
39,,40,,अलीगढ,,1,,5,,25624,,0,,113,,12,,
40,,41,,सभंल,,1,,2,,11068,,0,,109,,12,,
41,,42,,फरु्रख ब द,,0,,2,,11892,,0,,197,,11,,
42,,43,,बद य,,0,,2,,17938,,0,,101,,10,,
