"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","399","1117873","0","19624"
"2","Thane","37","119852","0","2289"
"3","TMC","99","198243","0","2171"
"4","Navi Mumbai","88","175368","0","2090"
"5","KDMC","43","178637","0","2975"
"6","Ulhasnagar MC","21","26907","0","681"
"7","Bhivandi Nijampur MC","3","13291","0","496"
"8","Mira Bhayandar MC","17","78733","0","1227"
"9","Palghar","6","65224","0","1244"
"10","Vasai Virar MC","25","101335","0","2171"
"11","Raigad","83","141742","0","3472"
"12","Panvel MC","43","109538","0","1482"
"","Mumbai circle total","864","2326743","0","39922"
"13","Nashik","21","184253","0","3815"
